PRIMARY_KEY,INSEE,Household_type,JOB_42,Highest_degree,Studying,AGE_2019,act,sex,target,Working_hours,TYPE_OF_CONTRACT,company_category,Work_condition,ECO_SECT,job_desc,employee_count,Job_dep,remuneration,job_category,emp_type,sports
132,01045,TYPEMR|1|2,csp_4_7,dip|1|7,False,30,ACT1.1,Female,E,1766.0,CDI,ct_9,C,MC,472a,tr_2,69,23711,O,EMP1.6,
136,01049,TYPEMR|4|1,csp_6_2,dip|1|1,False,56,ACT1.1,Male,E,1405.0,CDI,ct_9,C,FZ,621c,tr_4,69,22134,O,EMP1.6,
138,01049,TYPEMR|1|2,csp_3_7,dip|1|7,False,46,ACT1.1,Female,E,1820.0,CDI,ct_9,C,KZ,376c,tr_3,69,35715,O,EMP1.6,
141,01053,TYPEMR|4|1,csp_5_4,dip|1|6,False,46,ACT1.1,Female,E,1764.0,CDI,ct_9,C,CG,543g,tr_5,01,23660,O,EMP1.6,
144,01053,TYPEMR|3|2,csp_5_2,dip|1|3,False,58,ACT1.1,Female,A,598.0,CDI,ct_8,C,QB,526a,tr_4,01,11019,O,EMP1.6,
146,01053,TYPEMR|4|2,csp_6_3,dip|1|5,False,40,ACT1.1,Male,E,1911.0,CDI,ct_9,C,GZ,636a,tr_4,01,34143,O,EMP1.6,
147,01053,TYPEMR|1|1,csp_3_4,dip|1|7,False,47,ACT1.1,Male,A,2401.0,CDI,ct_8,C,PZ,341a,tr_3,07,36590,O,EMP1.6,
149,01053,TYPEMR|3|2,csp_5_2,dip|1|4,False,39,ACT1.1,Female,E,1470.0,CDI,ct_8,P,QB,526a,tr_4,71,18688,O,EMP1.6,
150,01053,TYPEMR|4|1,csp_5_4,dip|1|6,False,49,ACT1.1,Female,A,1820.0,CDI,ct_9,C,OZ,542a,tr_3,69,25389,O,EMP1.6,
155,01053,TYPEMR|2|0,csp_5_4,dip|1|5,True,21,ACT1.1,Male,A,1684.0,APP,ct_9,C,NZ,543e,tr_1,01,10622,A,EMP1.1,
166,01053,TYPEMR|4|2,csp_5_5,dip|1|3,False,22,ACT1.1,Male,A,1432.0,CDI,ct_9,C,GZ,552a,tr_1,01,12166,O,EMP1.6,CF-116
174,01053,TYPEMR|3|2,csp_6_3,dip|1|5,False,47,ACT1.1,Male,E,2042.0,CDI,ct_9,C,GZ,634a,tr_1,69,29863,O,EMP1.6,CF-132
180,01053,TYPEMR|1|2,csp_4_3,dip|1|7,False,40,ACT1.1,Female,E,1797.0,CDI,ct_9,C,QA,431f,tr_5,01,22474,O,EMP1.6,CF-123
185,01053,TYPEMR|1|1,csp_6_3,dip|1|4,False,39,ACT1.1,Male,E,828.0,CDI,ct_9,C,IZ,636d,tr_2,69,15998,O,EMP1.6,CF-133
189,01053,TYPEMR|1|1,csp_6_3,dip|1|4,False,25,ACT1.1,Male,E,1715.0,CDI,ct_9,C,FZ,632f,tr_1,69,21648,O,EMP1.6,CF-405
190,01053,TYPEMR|4|1,csp_4_6,dip|1|2,False,47,ACT1.1,Female,E,1810.0,CDI,ct_9,C,GZ,461e,tr_5,01,36055,O,EMP1.6,
193,01053,TYPEMR|1|1,csp_5_5,dip|1|4,False,37,ACT1.1,Male,E,1753.0,CDI,ct_9,C,GZ,551a,tr_5,01,21589,O,EMP1.6,
199,01053,TYPEMR|4|2,csp_5_5,dip|1|6,False,36,ACT1.1,Male,E,2511.0,CDI,ct_9,C,GZ,551a,tr_5,01,29746,O,EMP1.6,CF-103
219,01060,TYPEMR|4|1,csp_3_4,dip|1|8,False,62,ACT1.1,Male,E,1753.0,AUT,ct_1,P,PZ,341a,tr_4,01,38745,O,EMP1.5,
222,01061,TYPEMR|4|1,csp_6_7,dip|1|5,False,41,ACT1.1,Female,E,1861.0,CDI,ct_9,C,CG,674a,tr_3,01,18796,O,EMP1.6,
223,01061,TYPEMR|4|1,csp_5_6,dip|1|5,False,27,ACT1.1,Female,E,667.0,CDI,ct_9,P,IZ,561d,tr_3,01,6046,O,EMP1.6,
224,01061,TYPEMR|4|1,csp_4_3,dip|1|6,False,56,ACT1.1,Female,E,1715.0,CDI,ct_8,C,QB,431b,tr_2,01,27886,O,EMP1.6,
227,01063,TYPEMR|4|1,csp_6_2,dip|1|4,False,53,ACT1.1,Male,E,568.0,CDI,ct_2,C,OZ,621f,tr_3,01,4494,O,EMP1.6,
232,01065,TYPEMR|4|1,csp_4_7,dip|1|4,False,40,ACT1.1,Male,A,1903.0,CDI,ct_9,C,EZ,477c,tr_2,38,34228,O,EMP1.6,
241,01071,TYPEMR|4|1,csp_5_5,dip|1|3,False,34,ACT1.1,Female,E,1701.0,CDI,ct_9,C,GZ,553c,tr_1,01,31985,O,EMP1.6,
243,01072,TYPEMR|4|1,csp_6_8,dip|2,False,58,ACT1.1,Female,A,486.0,AUT,,C,FZ,684a,,01,3329,O,EMP1.2,
250,01074,TYPEMR|4|1,csp_6_8,dip|1|6,False,44,ACT1.1,Female,E,1125.0,CDI,ct_9,P,NZ,684a,tr_4,38,8752,O,EMP1.6,
256,01075,TYPEMR|4|3,csp_4_3,dip|1|7,False,29,ACT1.1,Female,E,1860.0,CDI,ct_9,C,GZ,433d,tr_3,01,23860,O,EMP1.6,
258,01078,TYPEMR|4|1,csp_5_4,dip|1|4,False,54,ACT1.1,Female,E,1750.0,CDI,ct_9,C,KZ,542a,tr_5,69,28663,O,EMP1.6,CF-110
265,01089,TYPEMR|4|1,csp_6_3,dip|1|3,False,44,ACT1.1,Male,E,1819.0,CDI,ct_9,C,GZ,634c,tr_3,01,18242,O,EMP1.6,CF-218
272,01092,TYPEMR|1|2,csp_5_5,dip|1|4,False,63,ACT1.1,Female,E,939.0,CDI,ct_9,C,IZ,551a,tr_1,01,19159,O,EMP1.6,
274,01093,TYPEMR|4|1,csp_4_3,dip|1|6,False,37,ACT1.1,Female,E,1598.0,CDI,ct_8,C,QB,435b,tr_5,01,17393,O,EMP1.6,
277,01094,TYPEMR|4|1,csp_5_3,dip|1|3,False,35,ACT1.1,Male,A,152.0,CDI,,P,OZ,531a,,69,2256,O,EMP1.6,
279,01096,TYPEMR|4|1,csp_6_3,dip|1|5,False,24,ACT1.1,Male,A,1820.0,CDI,ct_9,C,FZ,632c,tr_2,69,19523,O,EMP1.6,
282,01099,TYPEMR|1|1,csp_6_3,dip|2,False,34,ACT1.1,Male,A,1325.0,TTP,ct_9,N,NZ,636a,tr_1,01,14900,O,EMP1.5,
287,01103,TYPEMR|4|1,csp_5_4,dip|1|6,False,49,ACT1.1,Female,E,1836.0,CDI,ct_9,C,GZ,541b,tr_4,69,23466,O,EMP1.6,
288,01104,TYPEMR|1|1,csp_6_3,dip|1|5,False,60,ACT1.1,Male,E,1820.0,CDI,ct_9,C,FZ,632f,tr_2,01,39833,O,EMP1.6,CF-121
290,01104,TYPEMR|4|1,csp_3_7,dip|1|4,False,36,ACT1.1,Female,E,1968.0,CDI,ct_8,C,NZ,373c,tr_3,73,38491,O,EMP1.6,
293,01105,TYPEMR|3|1,csp_3_7,dip|1|8,False,51,ACT1.1,Male,A,1820.0,CDI,ct_9,C,KZ,376d,tr_5,75,59994,O,EMP1.6,
294,01105,TYPEMR|4|1,csp_6_2,dip|1|5,False,24,ACT1.1,Female,E,1958.0,CDI,ct_9,C,CC,627f,tr_4,69,16340,O,EMP1.6,
297,01108,TYPEMR|4|1,csp_4_3,dip|1|6,False,29,ACT1.1,Female,E,573.0,CDI,ct_9,C,QA,431f,tr_5,01,6727,O,EMP1.6,
305,01115,TYPEMR|4|1,csp_5_2,dip|1|5,False,53,ACT1.1,Female,E,1820.0,CDI,ct_8,C,QB,526d,tr_4,39,23233,O,EMP1.6,
309,01123,TYPEMR|4|1,csp_4_2,dip|1|7,False,55,ACT1.1,Female,E,786.0,CDI,ct_8,P,SZ,421a,tr_3,01,20893,O,EMP1.6,
313,01129,TYPEMR|1|2,csp_4_2,dip|1|8,False,51,ACT1.1,Female,A,1820.0,CDI,ct_8,C,QB,421b,tr_4,01,29666,O,EMP1.6,
317,01130,TYPEMR|4|1,csp_5_2,dip|1|6,False,63,ACT1.1,Female,E,1229.0,CDI,ct_6,P,QA,526a,tr_1,01,19896,O,EMP1.6,
321,01134,TYPEMR|4|1,csp_5_4,dip|1|1,False,62,ACT1.1,Female,E,1242.0,CDI,ct_9,C,MA,542a,tr_0,73,13611,O,EMP1.6,
323,01134,TYPEMR|4|2,csp_6_9,dip|1|5,False,26,ACT1.1,Male,A,1820.0,CDI,ct_9,C,NZ,691c,tr_3,01,16228,O,EMP1.6,
325,01134,TYPEMR|3|1,csp_4_7,dip|1|6,False,49,ACT1.1,Male,A,1045.0,CDI,ct_9,C,HZ,477a,tr_6,69,22709,O,EMP1.6,CF-123
332,01138,TYPEMR|4|1,csp_3_7,dip|1|8,False,30,ACT1.1,Female,E,1820.0,CDI,ct_9,C,KZ,376c,tr_3,21,34329,O,EMP1.6,
333,01138,TYPEMR|4|1,csp_5_4,dip|1|6,False,46,ACT1.1,Female,A,1298.0,CDI,ct_9,C,GZ,543f,tr_3,01,17862,O,EMP1.6,
338,01142,TYPEMR|4|3,csp_6_7,dip|1|6,False,42,ACT1.1,Female,A,960.0,AUT,ct_8,P,GZ,676a,tr_3,01,9529,X,EMP1.2,
345,01142,TYPEMR|4|1,csp_3_8,dip|1|8,False,43,ACT1.1,Male,E,1820.0,CDI,ct_9,C,CM,387d,tr_6,01,53742,O,EMP1.6,CF-108
351,01143,TYPEMR|1|1,csp_5_4,dip|1|8,False,58,ACT1.1,Male,E,1218.0,CDI,ct_9,C,GZ,543f,tr_3,38,26806,O,EMP1.6,
360,01148,TYPEMR|4|1,csp_6_3,dip|1|2,False,62,ACT1.1,Male,E,1314.0,CDI,ct_9,P,IZ,631a,tr_1,69,15363,O,EMP1.6,
371,01153,TYPEMR|4|1,csp_5_5,dip|1|3,False,38,ACT1.1,Female,A,1916.0,CDI,ct_9,C,GZ,551a,tr_3,01,18796,O,EMP1.6,
374,01156,TYPEMR|1|1,csp_6_2,dip|1|3,False,61,ACT1.1,Male,E,364.0,CDI,ct_9,C,FZ,621b,tr_6,69,10913,O,EMP1.6,CF-211
380,01159,TYPEMR|4|1,csp_5_2,dip|1|4,False,55,ACT1.1,Female,E,1820.0,CDI,ct_8,C,QB,526d,tr_3,01,21715,O,EMP1.6,CF-410
381,01159,TYPEMR|4|1,csp_5_2,dip|1|4,False,63,ACT1.1,Female,E,1229.0,CDI,ct_6,P,QA,526a,tr_1,01,19503,O,EMP1.6,
385,01160,TYPEMR|1|1,csp_6_5,dip|1|4,False,44,ACT1.1,Male,E,1936.0,CDI,ct_9,C,GZ,652a,tr_6,01,23507,O,EMP1.6,
389,01160,TYPEMR|4|1,csp_6_2,dip|1|4,False,49,ACT1.1,Male,E,1820.0,CDI,ct_9,C,CK,624e,tr_6,01,26002,O,EMP1.6,
392,01160,TYPEMR|1|1,csp_6_3,dip|1|3,False,57,ACT1.1,Male,E,1728.0,CDI,ct_9,C,GZ,634c,tr_1,01,48495,O,EMP1.6,
399,01165,TYPEMR|4|2,csp_6_3,dip|1|3,False,54,ACT1.1,Male,E,1746.0,CDI,ct_9,C,GZ,634c,tr_2,01,15962,O,EMP1.6,
400,01165,TYPEMR|4|1,csp_6_7,dip|1|5,False,41,ACT1.1,Female,E,1861.0,CDI,ct_9,C,CG,674a,tr_3,01,18092,O,EMP1.6,CF-219
402,01166,TYPEMR|1|1,csp_4_8,dip|1|6,False,41,ACT1.1,Male,A,1820.0,CDI,ct_8,C,QB,486e,tr_4,01,24719,O,EMP1.6,
403,01166,TYPEMR|4|1,csp_5_3,dip|1|4,False,35,ACT1.1,Male,A,152.0,CDI,,P,OZ,531a,,69,2251,O,EMP1.6,
409,01171,TYPEMR|4|1,csp_6_3,dip|1|3,False,30,ACT1.1,Male,A,1729.0,CDI,ct_9,C,FZ,632j,tr_1,01,24012,O,EMP1.6,
413,01173,TYPEMR|4|1,csp_6_5,dip|1|3,False,46,ACT1.1,Female,A,1764.0,CDI,ct_9,C,GZ,653a,tr_3,38,18291,O,EMP1.6,
414,01173,TYPEMR|4|1,csp_5_5,dip|1|6,False,44,ACT1.1,Female,E,1833.0,CDI,ct_9,C,GZ,554a,tr_2,71,21287,O,EMP1.6,
416,01173,TYPEMR|4|1,csp_4_7,dip|1|4,False,56,ACT1.1,Male,A,1595.0,CDI,ct_9,C,JC,478c,tr_3,69,27548,O,EMP1.6,CF-132
419,01173,TYPEMR|4|1,csp_4_3,dip|1|3,False,48,ACT1.1,Female,A,691.0,CDI,ct_8,P,QB,434g,tr_2,01,7659,O,EMP1.6,
421,01173,TYPEMR|4|1,csp_4_3,dip|1|6,False,37,ACT1.1,Female,A,1598.0,CDI,ct_8,C,QB,435b,tr_5,01,16454,O,EMP1.6,
423,01173,TYPEMR|4|3,csp_4_3,dip|1|8,False,44,ACT1.1,Female,A,1451.0,AUT,ct_2,P,OZ,434g,tr_6,69,25438,O,EMP1.5,
435,01179,TYPEMR|4|3,csp_5_4,dip|1|4,False,50,ACT1.1,Female,A,1820.0,CDI,ct_8,C,QA,543g,tr_6,01,18415,O,EMP1.6,
439,01183,TYPEMR|4|1,csp_6_7,dip|1|3,False,51,ACT1.1,Male,E,1665.0,CDI,ct_9,C,HZ,676c,tr_6,01,20336,O,EMP1.6,
443,01185,TYPEMR|1|1,csp_4_6,dip|1|4,False,32,ACT1.1,Male,A,1820.0,CDI,ct_9,C,HZ,466c,tr_3,69,31169,O,EMP1.6,
447,01185,TYPEMR|4|1,csp_4_3,dip|1|3,False,37,ACT1.1,Female,E,1335.0,CDI,ct_8,P,QA,431f,tr_1,01,18288,O,EMP1.6,
456,01192,TYPEMR|1|1,csp_4_6,dip|1|5,False,42,ACT1.1,Male,E,1729.0,CDI,ct_9,C,CK,462e,tr_3,01,27892,O,EMP1.6,CF-125
473,01195,TYPEMR|3|2,csp_4_6,dip|1|7,False,40,ACT1.1,Female,E,1638.0,CDI,ct_9,P,LZ,461e,tr_6,01,28018,O,EMP1.6,
474,01195,TYPEMR|4|1,csp_3_8,dip|1|8,False,43,ACT1.1,Male,A,1820.0,CDI,ct_9,C,CH,384a,tr_6,69,51540,O,EMP1.6,
476,01195,TYPEMR|4|2,csp_4_7,dip|1|3,False,59,ACT1.1,Male,A,1570.0,CDI,ct_8,P,OZ,478a,tr_5,69,38408,O,EMP1.6,
505,01216,TYPEMR|4|1,csp_4_5,dip|1|7,False,41,ACT1.1,Female,E,1448.0,CDI,ct_9,P,HZ,451a,tr_4,71,16658,O,EMP1.6,CF-402
517,01231,TYPEMR|4|1,csp_5_2,dip|1|3,False,56,ACT1.1,Female,E,1725.0,CDI,ct_8,C,SZ,526d,tr_2,01,14689,O,EMP1.6,
520,01237,TYPEMR|4|2,csp_6_8,dip|2,True,15,ACT1.1,Male,A,458.0,APP,ct_9,C,CA,683a,tr_1,01,1461,A,EMP1.1,
525,01241,TYPEMR|1|2,csp_3_7,dip|1|8,False,28,ACT1.1,Female,A,1578.0,CDI,ct_9,C,MC,375a,tr_4,69,22077,O,EMP1.6,
527,01241,TYPEMR|4|2,csp_4_2,dip|1|6,False,34,ACT1.1,Male,A,1820.0,AUT,ct_1,C,PZ,422b,tr_4,52,32391,O,EMP1.5,
529,01243,TYPEMR|4|1,csp_5_2,dip|1|7,False,50,ACT1.1,Female,E,1701.0,CDI,ct_8,C,QB,526d,tr_3,01,20723,O,EMP1.6,CF-212
537,01244,TYPEMR|4|1,csp_5_5,dip|1|6,False,33,ACT1.1,Female,E,1300.0,CDI,ct_9,P,GZ,554e,tr_1,74,14384,O,EMP1.6,
541,01245,TYPEMR|4|1,csp_6_3,dip|1|5,False,42,ACT1.1,Male,E,2028.0,CDI,ct_9,C,CA,636c,tr_1,74,22522,O,EMP1.6,
544,01246,TYPEMR|4|1,csp_3_8,dip|1|7,False,43,ACT1.1,Male,A,1820.0,CDI,ct_9,C,CC,386e,tr_4,01,36345,O,EMP1.6,
545,01248,TYPEMR|4|1,csp_5_2,dip|1|3,False,42,ACT1.1,Male,E,1785.0,CDI,ct_8,C,QB,526d,tr_4,01,19397,O,EMP1.6,
553,01249,TYPEMR|4|1,csp_4_2,dip|1|7,False,55,ACT1.1,Female,E,1820.0,CDI,ct_8,C,PZ,421b,tr_4,69,30953,O,EMP1.6,
555,01249,TYPEMR|1|1,csp_6_2,dip|1|3,False,62,ACT1.1,Male,E,1668.0,CDI,ct_9,C,CC,627f,tr_3,69,17822,O,EMP1.6,CF-242
559,01249,TYPEMR|4|1,csp_4_3,dip|1|3,False,37,ACT1.1,Female,E,1598.0,CDI,ct_8,C,QB,435b,tr_5,01,16620,O,EMP1.6,
563,01249,TYPEMR|4|1,csp_5_3,dip|1|2,False,45,ACT1.1,Male,E,490.0,CDI,ct_9,C,NZ,534a,tr_5,69,7299,O,EMP1.6,
568,01250,TYPEMR|4|1,csp_6_2,dip|1|5,False,32,ACT1.1,Male,A,2200.0,CDI,ct_9,C,CC,627d,tr_2,01,20391,O,EMP1.6,
575,01261,TYPEMR|4|1,csp_3_4,dip|1|7,False,62,ACT1.1,Male,E,1729.0,CDI,ct_8,C,PZ,342c,tr_5,69,34790,O,EMP1.6,CF-202
577,01262,TYPEMR|4|1,csp_5_2,dip|1|7,False,26,ACT1.1,Female,A,826.0,CDD,ct_9,C,QA,526a,tr_5,71,9376,O,EMP1.5,
592,01265,TYPEMR|3|2,csp_5_6,dip|1|4,False,44,ACT1.1,Female,A,3000.0,CDI,ct_7,N,QB,563a,tr_1,01,9832,O,EMP1.6,
594,01265,TYPEMR|1|1,csp_6_4,dip|3,False,29,ACT1.1,Male,A,1544.0,CDI,ct_9,C,HZ,643a,tr_3,69,21720,O,EMP1.6,
598,01266,TYPEMR|4|1,csp_4_8,dip|1|3,False,47,ACT1.1,Female,E,1639.0,CDI,ct_9,C,IZ,488a,tr_2,69,25569,O,EMP1.6,CF-401
601,01267,TYPEMR|4|1,csp_6_3,dip|1|3,False,29,ACT1.1,Male,A,1465.0,CDI,ct_9,C,IZ,636d,tr_1,01,17181,O,EMP1.6,
605,01272,TYPEMR|4|3,csp_4_7,dip|1|6,False,64,ACT1.1,Female,E,1543.0,CDI,ct_9,C,GZ,477a,tr_3,01,24746,O,EMP1.6,
611,01273,TYPEMR|4|1,csp_5_2,dip|1|3,False,32,ACT1.1,Female,E,1724.0,CDI,ct_9,C,QB,525d,tr_4,71,19962,O,EMP1.6,
614,01275,TYPEMR|4|1,csp_6_2,dip|1|6,False,40,ACT1.1,Male,E,1820.0,CDI,ct_9,C,CL,624c,tr_4,01,13083,O,EMP1.6,
616,01276,TYPEMR|4|1,csp_5_2,dip|1|6,False,45,ACT1.1,Female,A,1826.0,AUT,ct_3,C,QA,526a,tr_5,01,21775,O,EMP1.5,CF-211
619,01281,TYPEMR|4|2,csp_3_8,dip|1|6,False,60,ACT1.1,Male,E,1820.0,CDI,ct_9,C,KZ,387d,tr_4,69,22331,O,EMP1.6,
621,01281,TYPEMR|4|3,csp_5_6,dip|1|3,False,63,ACT1.1,Female,A,660.0,CDI,,C,TZ,563c,,01,4251,O,EMP1.6,
623,01281,TYPEMR|3|2,csp_6_3,dip|1|3,False,32,ACT1.1,Male,A,1061.0,CDI,ct_9,P,GZ,634c,tr_1,73,12123,O,EMP1.6,
628,01283,TYPEMR|3|2,csp_4_7,dip|1|3,False,49,ACT1.1,Female,A,1820.0,AUT,ct_1,C,OZ,472d,tr_5,01,28885,O,EMP1.5,
630,01283,TYPEMR|4|1,csp_5_5,dip|1|7,False,32,ACT1.1,Female,A,1694.0,CDI,ct_9,P,GZ,552a,tr_2,01,16508,O,EMP1.6,
631,01283,TYPEMR|4|1,csp_5_5,dip|1|2,False,44,ACT1.1,Female,A,378.0,CDD,ct_9,C,GZ,554e,tr_1,01,4343,O,EMP1.5,
634,01283,TYPEMR|4|1,csp_5_2,dip|1|3,False,56,ACT1.1,Female,E,1721.0,CDI,ct_9,P,MC,526b,tr_1,73,16038,O,EMP1.6,
636,01283,TYPEMR|4|1,csp_4_7,dip|1|4,False,35,ACT1.1,Male,E,1682.0,CDI,ct_9,C,FZ,473b,tr_3,01,17316,O,EMP1.6,
639,01283,TYPEMR|4|2,csp_6_2,dip|1|3,False,30,ACT1.1,Male,A,223.0,TTP,ct_9,C,NZ,621c,tr_0,04,2978,O,EMP1.2,CF-101
643,01283,TYPEMR|4|2,csp_4_6,dip|1|6,False,24,ACT1.1,Male,A,1617.0,CDI,ct_9,C,NZ,462e,tr_2,01,31945,O,EMP1.6,
648,01283,TYPEMR|4|3,csp_5_6,dip|1|2,False,57,ACT1.1,Female,E,415.0,CDI,ct_9,P,IZ,561f,tr_1,01,3584,O,EMP1.6,
650,01283,TYPEMR|3|2,csp_5_2,dip|1|4,False,57,ACT1.1,Female,E,1714.0,CDI,ct_8,C,QB,525d,tr_4,01,18868,O,EMP1.6,
676,01289,TYPEMR|4|1,csp_6_8,dip|1|3,False,23,ACT1.1,Male,A,360.0,CDI,ct_9,C,SZ,685a,tr_5,01,2405,O,EMP1.6,
682,01295,TYPEMR|4|1,csp_4_3,dip|1|7,False,23,ACT1.1,Female,A,1318.0,CDD,ct_8,C,QB,434b,tr_4,01,15256,O,EMP1.5,
683,01297,TYPEMR|1|1,csp_4_6,dip|1|6,False,61,ACT1.1,Male,A,1820.0,CDI,ct_9,C,CA,463b,tr_3,38,47826,O,EMP1.6,
684,01299,TYPEMR|3|2,csp_6_4,dip|1|3,False,28,ACT1.1,Male,A,373.0,AUT,ct_9,C,HZ,641b,tr_6,69,3484,X,EMP1.5,
689,01301,TYPEMR|2|0,csp_3_4,dip|1|8,True,26,ACT1.1,Male,A,1820.0,AUT,ct_1,C,PZ,341a,tr_4,01,24409,O,EMP1.5,
704,01313,TYPEMR|3|2,csp_6_3,dip|1|3,False,38,ACT1.1,Male,A,1729.0,CDI,ct_9,C,FZ,632a,tr_3,01,22918,O,EMP1.6,
706,01313,TYPEMR|4|1,csp_5_2,dip|1|5,False,47,ACT1.1,Female,E,1077.0,CDI,ct_8,P,QB,526a,tr_4,01,16265,O,EMP1.6,
709,01313,TYPEMR|1|1,csp_5_5,dip|1|3,False,54,ACT1.1,Male,A,3000.0,CDI,ct_9,C,GZ,551a,tr_2,01,35936,O,EMP1.6,
710,01313,TYPEMR|4|1,csp_6_4,dip|1|3,False,58,ACT1.1,Male,E,1849.0,CDI,ct_9,C,GZ,641a,tr_1,69,25632,O,EMP1.6,
714,01313,TYPEMR|4|1,csp_5_2,dip|1|3,False,50,ACT1.1,Female,E,1106.0,CDI,ct_9,C,QA,525d,tr_5,01,11473,O,EMP1.6,
722,01313,TYPEMR|4|1,csp_5_5,dip|1|3,False,46,ACT1.1,Female,A,1776.0,CDI,ct_9,C,GZ,554j,tr_3,01,20997,O,EMP1.6,
724,01314,TYPEMR|4|1,csp_5_6,dip|1|4,True,18,ACT1.1,Female,A,132.0,TOA,,C,IZ,561d,,01,1266,O,EMP1.5,CF-217
725,01317,TYPEMR|1|1,csp_6_3,dip|3,False,53,ACT1.1,Male,E,268.0,CDI,ct_8,C,QA,636d,tr_4,01,4939,O,EMP1.6,
729,01320,TYPEMR|4|1,csp_4_7,dip|1|2,False,31,ACT1.1,Female,E,1956.0,CDI,ct_9,C,MA,478d,tr_4,92,10920,O,EMP1.6,CF-402
734,01320,TYPEMR|4|1,csp_5_5,dip|3,False,46,ACT1.1,Female,E,1324.0,CDI,ct_9,C,GZ,554e,tr_1,01,15922,O,EMP1.6,
756,01339,TYPEMR|1|1,csp_6_7,dip|1|4,False,43,ACT1.1,Male,E,1836.0,CDI,ct_9,C,CA,674c,tr_5,71,19633,O,EMP1.6,
