PRIMARY_KEY,INSEE,Household_type,JOB_42,Highest_degree,Studying,AGE_2019,act,sex,target,Nom de la commune,town_type,DEP,community_size,dep_median_inc,sports,Code,Categorie,Nom fédération,Nom catégorie
158,01053,TYPEMR|4|4,csp_7_1,dip|1|2,False,72,ACT2.1,Female,A,Bourg-en-Bresse,Préfecture,01,42853,24810,,,,,
159,01053,TYPEMR|4|4,csp_8_5,dip|1|3,False,58,ACT2.4,Female,A,Bourg-en-Bresse,Préfecture,01,42853,24810,,,,,
163,01053,TYPEMR|4|1,csp_4_2,dip|1|5,False,31,ACT1.1,Male,E,Bourg-en-Bresse,Préfecture,01,42853,24810,,,,,
164,01053,TYPEMR|4|3,csp_8_4,dip|1|1,True,16,ACT2.2,Male,A,Bourg-en-Bresse,Préfecture,01,42853,24810,CF-604,CF-604,6.0,Union nationale du sport scolaire (UNSS),Fédération multisports scolaire ou universitaire
169,01053,TYPEMR|4|1,csp_8_4,dip|3,True,18,ACT2.2,Male,E,Bourg-en-Bresse,Préfecture,01,42853,24810,CF-604,CF-604,6.0,Union nationale du sport scolaire (UNSS),Fédération multisports scolaire ou universitaire
183,01053,TYPEMR|4|4,csp_7_2,dip|1|1,False,72,ACT2.1,Female,A,Bourg-en-Bresse,Préfecture,01,42853,24810,,,,,
186,01053,TYPEMR|4|1,csp_8_4,dip|1|2,True,23,ACT2.2,Male,E,Bourg-en-Bresse,Préfecture,01,42853,24810,,,,,
191,01053,TYPEMR|3|2,csp_8_5,dip|1|4,True,25,ACT2.5,Female,A,Bourg-en-Bresse,Préfecture,01,42853,24810,,,,,
208,01053,TYPEMR|4|1,csp_4_5,dip|1|7,False,48,ACT1.1,Male,E,Bourg-en-Bresse,Préfecture,01,42853,24810,CF-127,CF-127,1.0,Fédération Française de triathlon,Fédération unisport olympique
212,01053,TYPEMR|4|3,csp_6_3,dip|3,False,61,ACT1.2,Male,E,Bourg-en-Bresse,Préfecture,01,42853,24810,,,,,
215,01054,TYPEMR|3|2,csp_8_4,dip|1|2,True,16,ACT2.2,Female,A,Bourg-Saint-Christophe,Commune simple,01,1489,24810,,,,,
220,01061,TYPEMR|4|1,csp_8_4,dip|3,True,18,ACT2.2,Male,A,Brens,Commune simple,01,1179,24810,,,,,
221,01061,TYPEMR|4|1,csp_8_6,dip|1,False,67,ACT2.5,Male,E,Brens,Commune simple,01,1179,24810,,,,,
225,01061,TYPEMR|3|2,csp_5_6,dip|1|3,False,27,ACT1.2,Female,A,Brens,Commune simple,01,1179,24810,CF-261,CF-261,2.0,"Fédération française de kick boxing, muay thaï et disciplines associées",Fédération unisport non olympique
245,01072,TYPEMR|4|4,csp_7_1,dip|1|3,False,84,ACT2.1,Male,E,Ceyzériat,Chef-lieu canton,01,3256,24810,CF-218,CF-218,2.0,Fédération Française de cyclotourisme,Fédération unisport non olympique
246,01073,TYPEMR|4|4,csp_8_5,dip|1|7,False,30,ACT2.5,Female,A,Ceyzérieu,Commune simple,01,1025,24810,CF-402,CF-402,4.0,Fédération Française d'éducation physique et de gymnastique volontaire,Fédération multisports affinitaire
249,01074,TYPEMR|3|2,csp_8_4,dip|1|2,True,18,ACT2.2,Female,A,Chalamont,Chef-lieu canton,01,2624,24810,CF-115,CF-115,1.0,Fédération Française de handball,Fédération unisport olympique
251,01074,TYPEMR|4|1,csp_8_4,dip|1|2,True,17,ACT2.2,Male,A,Chalamont,Chef-lieu canton,01,2624,24810,CF-111,CF-111,1.0,Fédération Française de football,Fédération unisport olympique
254,01075,TYPEMR|4|1,csp_4_8,dip|1|6,True,23,ACT1.1,Male,A,Chaleins,Commune simple,01,1413,24810,,,,,
260,01079,TYPEMR|4|1,csp_6_9,dip|1|4,False,31,ACT1.1,Female,A,Champagne-en-Valromey,Chef-lieu canton,01,842,24810,,,,,
261,01080,TYPEMR|4|2,csp_8_6,dip|1|1,False,64,ACT2.5,Female,E,Champdor-Corcelles,Commune simple,01,657,24810,,,,,
270,01092,TYPEMR|4|1,csp_8_5,dip|1,False,53,ACT2.5,Female,E,Châtillon-la-Palud,Commune simple,01,1662,24810,,,,,
271,01092,TYPEMR|4|4,csp_8_6,dip|3,False,91,ACT2.5,Male,A,Châtillon-la-Palud,Commune simple,01,1662,24810,,,,,
278,01095,TYPEMR|4|1,csp_4_3,dip|1|8,False,26,ACT1.1,Female,A,Nivigne et Suran,Commune simple,01,865,24810,,,,,
280,01096,TYPEMR|4|3,csp_2_2,dip|1|2,False,61,ACT1.1,Female,A,Chaveyriat,Commune simple,01,1064,24810,,,,,
284,01102,TYPEMR|1|2,csp_5_6,dip|1|3,False,23,ACT1.1,Female,A,Chevroux,Commune simple,01,976,24810,,,,,
285,01103,TYPEMR|4|1,csp_1_1,dip|1|6,False,49,ACT1.1,Female,A,Chevry,Commune simple,01,2196,24810,,,,,
301,01109,TYPEMR|4|1,csp_8_4,dip|1|2,True,21,ACT2.2,Male,E,Collonges,Chef-lieu canton,01,2272,24810,,,,,
314,01129,TYPEMR|4|1,csp_8_4,dip|1|2,True,17,ACT2.2,Male,A,Crans,Commune simple,01,297,24810,,,,,
326,01135,TYPEMR|4|1,csp_2_2,dip|1|6,False,55,ACT1.1,Female,A,Crozet,Commune simple,01,2235,24810,CF-401,CF-401,4.0,Fédération Française des clubs alpins et de montagne,Fédération multisports affinitaire
327,01136,TYPEMR|4|1,csp_8_4,dip|1|7,True,22,ACT2.2,Female,A,Cruzilles-lès-Mépillat,Commune simple,01,913,24810,,,,,
335,01138,TYPEMR|4|2,csp_8_5,dip|1|4,False,46,ACT2.4,Female,A,Culoz,Commune simple,01,3068,24810,,,,,
337,01139,TYPEMR|4|4,csp_7_2,dip|1|3,False,71,ACT2.1,Male,E,Curciat-Dongalon,Commune simple,01,449,24810,,,,,
339,01142,TYPEMR|3|2,csp_8_4,dip|3,True,17,ACT2.2,Male,A,Dagneux,Commune simple,01,4834,24810,,,,,
341,01142,TYPEMR|2|0,csp_8_4,dip|1|3,True,18,ACT2.2,Male,A,Dagneux,Commune simple,01,4834,24810,,,,,
352,01143,TYPEMR|4|2,csp_8_5,dip|2,False,37,ACT2.4,Female,A,Divonne-les-Bains,Commune simple,01,10190,24810,,,,,
353,01143,TYPEMR|1|2,csp_8_4,dip|1|5,True,20,ACT2.2,Female,A,Divonne-les-Bains,Commune simple,01,10190,24810,,,,,
354,01143,TYPEMR|4|1,csp_8_4,dip|3,True,18,ACT2.2,Male,A,Divonne-les-Bains,Commune simple,01,10190,24810,CF-111,CF-111,1.0,Fédération Française de football,Fédération unisport olympique
378,01158,TYPEMR|3|2,csp_8_5,dip|1|3,False,45,ACT2.5,Female,A,Farges,Commune simple,01,1065,24810,,,,,
379,01159,TYPEMR|1|1,csp_4_8,dip|1|3,False,61,ACT1.1,Male,A,Feillens,Commune simple,01,3436,24810,,,,,
384,01160,TYPEMR|4|1,csp_6_7,dip|1|3,False,37,ACT1.1,Female,E,Ferney-Voltaire,Chef-lieu canton,01,10189,24810,,,,,
390,01160,TYPEMR|4|4,csp_8_5,dip|2,False,49,ACT2.5,Male,E,Ferney-Voltaire,Chef-lieu canton,01,10189,24810,,,,,
393,01160,TYPEMR|3|1,csp_2_1,dip|1|3,False,58,ACT1.1,Male,A,Ferney-Voltaire,Chef-lieu canton,01,10189,24810,,,,,
394,01160,TYPEMR|4|4,csp_8_4,dip|1|8,True,24,ACT2.2,Male,E,Ferney-Voltaire,Chef-lieu canton,01,10189,24810,,,,,
396,01160,TYPEMR|3|2,csp_8_4,dip|1|2,True,18,ACT2.2,Male,A,Ferney-Voltaire,Chef-lieu canton,01,10189,24810,,,,,
397,01160,TYPEMR|3|2,csp_8_1,dip|2,False,33,ACT1.2,Female,A,Ferney-Voltaire,Chef-lieu canton,01,10189,24810,CF-113,CF-113,1.0,Fédération Française de gymnastique,Fédération unisport olympique
401,01165,TYPEMR|3|2,csp_6_2,dip|1|3,False,44,ACT1.2,Female,A,Francheleins,Commune simple,01,1627,24810,,,,,
406,01167,TYPEMR|3|2,csp_8_4,dip|3,True,17,ACT2.2,Male,A,Garnerans,Commune simple,01,658,24810,,,,,
407,01167,TYPEMR|1|1,csp_7_1,dip|1|3,False,71,ACT2.1,Male,E,Garnerans,Commune simple,01,658,24810,,,,,
408,01167,TYPEMR|1|1,csp_1_1,dip|1,False,69,ACT1.1,Male,A,Garnerans,Commune simple,01,658,24810,,,,,
415,01173,TYPEMR|4|2,csp_3_1,dip|1|8,False,41,ACT1.1,Male,A,Gex,Sous-préfecture,01,13391,24810,,,,,
420,01173,TYPEMR|4|2,csp_5_5,dip|1|3,False,37,ACT1.2,Female,A,Gex,Sous-préfecture,01,13391,24810,,,,,
427,01173,TYPEMR|1|1,csp_7_2,dip|1|2,False,90,ACT2.1,Male,A,Gex,Sous-préfecture,01,13391,24810,,,,,
434,01179,TYPEMR|4|1,csp_3_4,dip|1|7,False,40,ACT1.1,Female,E,Grièges,Commune simple,01,1933,24810,,,,,
440,01183,TYPEMR|4|1,csp_8_5,dip|1|3,False,59,ACT2.5,Male,A,Guéreins,Commune simple,01,1508,24810,,,,,
453,01188,TYPEMR|1|2,csp_4_3,dip|1|7,False,50,ACT1.2,Female,A,Illiat,Commune simple,01,683,24810,,,,,
455,01192,TYPEMR|4|3,csp_8_4,dip|1|2,True,17,ACT2.2,Female,A,Izernore,Chef-lieu canton,01,2338,24810,,,,,
458,01193,TYPEMR|4|1,csp_8_4,dip|1|2,True,19,ACT2.2,Male,A,Izieu,Commune simple,01,229,24810,,,,,
469,01194,TYPEMR|1|1,csp_6_4,dip|1|2,False,59,ACT1.2,Male,E,Jassans-Riottier,Commune simple,01,6439,24810,,,,,
475,01195,TYPEMR|4|2,csp_8_5,dip|2,False,32,ACT2.4,Female,A,Jasseron,Commune simple,01,1837,24810,,,,,
480,01199,TYPEMR|4|2,csp_5_2,dip|1|5,False,32,ACT1.2,Female,A,Jujurieux,Commune simple,01,2183,24810,,,,,
481,01199,TYPEMR|4|1,csp_8_5,dip|3,True,17,ACT2.2,Male,A,Jujurieux,Commune simple,01,2183,24810,CF-134,CF-134,1.0,FF de karaté et disciplines associées,Fédération unisport olympique
482,01200,TYPEMR|4|1,csp_5_2,dip|1|4,False,56,ACT1.1,Male,A,Labalme,Commune simple,01,219,24810,,,,,
485,01202,TYPEMR|4|2,csp_7_1,dip|1|1,False,71,ACT2.1,Female,E,Lagnieu,Chef-lieu canton,01,7308,24810,,,,,
499,01212,TYPEMR|1|1,csp_3_3,dip|1|4,False,61,ACT1.1,Male,E,Lescheroux,Commune simple,01,727,24810,,,,,
502,01213,TYPEMR|3|2,csp_5_6,dip|1|3,False,43,ACT1.2,Female,A,Leyment,Commune simple,01,1370,24810,,,,,
509,01224,TYPEMR|3|1,csp_3_5,dip|1|4,False,52,ACT1.1,Male,A,Loyettes,Commune simple,01,3256,24810,,,,,
511,01224,TYPEMR|1|2,csp_8_5,dip|1|3,False,55,ACT2.5,Female,A,Loyettes,Commune simple,01,3256,24810,,,,,
512,01225,TYPEMR|4|1,csp_8_4,dip|1|2,True,17,ACT2.2,Male,A,Lurcy,Commune simple,01,380,24810,CF-123,CF-123,1.0,Fédération Française de tennis,Fédération unisport olympique
516,01230,TYPEMR|4|1,csp_8_5,dip|3,True,17,ACT2.2,Male,A,Mantenay-Montlin,Commune simple,01,319,24810,,,,,
518,01231,TYPEMR|4|2,csp_8_4,dip|1|4,True,30,ACT2.2,Female,A,Manziat,Commune simple,01,1996,24810,,,,,
522,01238,TYPEMR|4|1,csp_8_4,dip|1|2,True,19,ACT2.2,Male,E,Massieux,Commune simple,01,2726,24810,,,,,
531,01244,TYPEMR|4|4,csp_7_2,dip|1|5,False,67,ACT2.1,Male,E,Meximieux,Chef-lieu canton,01,8062,24810,CF-245,CF-245,2.0,Fédération Française de la randonnée pédestre,Fédération unisport non olympique
533,01244,TYPEMR|3|2,csp_8_5,dip|3,True,16,ACT2.2,Male,A,Meximieux,Chef-lieu canton,01,8062,24810,CF-115,CF-115,1.0,Fédération Française de handball,Fédération unisport olympique
542,01245,TYPEMR|2|0,csp_8_4,dip|1|2,True,16,ACT2.2,Female,A,Bohas-Meyriat-Rignat,Commune simple,01,964,24810,,,,,
543,01246,TYPEMR|4|3,csp_8_4,dip|3,True,17,ACT2.2,Female,A,Mézériat,Commune simple,01,2253,24810,,,,,
546,01248,TYPEMR|4|2,csp_5_6,dip|1|2,False,28,ACT1.2,Female,A,Mionnay,Commune simple,01,2251,24810,,,,,
548,01249,TYPEMR|4|1,csp_8_4,dip|1|2,True,17,ACT2.2,Male,E,Miribel,Chef-lieu canton,01,10273,24810,CF-111,CF-111,1.0,Fédération Française de football,Fédération unisport olympique
561,01249,TYPEMR|4|1,csp_8_4,dip|3,True,18,ACT2.2,Male,A,Miribel,Chef-lieu canton,01,10273,24810,,,,,
564,01249,TYPEMR|4|2,csp_8_4,dip|1|2,True,22,ACT2.2,Male,A,Miribel,Chef-lieu canton,01,10273,24810,CF-111,CF-111,1.0,Fédération Française de football,Fédération unisport olympique
566,01249,TYPEMR|4|4,csp_4_6,dip|1|6,False,34,ACT1.2,Female,A,Miribel,Chef-lieu canton,01,10273,24810,,,,,
570,01252,TYPEMR|4|4,csp_8_5,dip|1|3,False,30,ACT2.5,Male,A,Mogneneins,Commune simple,01,808,24810,,,,,
571,01254,TYPEMR|4|1,csp_6_7,dip|1|5,True,21,ACT1.2,Male,A,Montagnat,Commune simple,01,2167,24810,,,,,
578,01262,TYPEMR|4|3,csp_6_7,dip|3,False,36,ACT1.2,Male,E,Montluel,Chef-lieu canton,01,6969,24810,,,,,
579,01262,TYPEMR|4|1,csp_8_4,dip|1|2,True,17,ACT2.2,Male,E,Montluel,Chef-lieu canton,01,6969,24810,,,,,
581,01262,TYPEMR|4|1,csp_6_3,dip|1|7,False,64,ACT1.1,Female,E,Montluel,Chef-lieu canton,01,6969,24810,,,,,
582,01262,TYPEMR|4|4,csp_8_6,dip|1|2,False,69,ACT2.1,Female,A,Montluel,Chef-lieu canton,01,6969,24810,,,,,
588,01263,TYPEMR|3|2,csp_4_2,dip|1|4,False,27,ACT1.1,Male,A,Montmerle-sur-Saône,Commune simple,01,3859,24810,CF-101,CF-101,1.0,Fédération Française d'athlétisme,Fédération unisport olympique
590,01263,TYPEMR|4|1,csp_8_4,dip|1|3,True,18,ACT2.2,Female,A,Montmerle-sur-Saône,Commune simple,01,3859,24810,,,,,
593,01265,TYPEMR|1|1,csp_2_2,dip|1|5,False,53,ACT1.1,Male,A,Montréal-la-Cluse,Commune simple,01,3527,24810,,,,,
595,01266,TYPEMR|4|4,csp_7_2,dip|1|3,False,70,ACT2.1,Male,E,Montrevel-en-Bresse,Chef-lieu canton,01,2618,24810,,,,,
599,01266,TYPEMR|4|1,csp_3_1,dip|1|8,False,41,ACT1.1,Female,A,Montrevel-en-Bresse,Chef-lieu canton,01,2618,24810,,,,,
607,01272,TYPEMR|4|1,csp_8_4,dip|1|4,True,22,ACT2.2,Male,A,Neuville-les-Dames,Commune simple,01,1520,24810,,,,,
612,01273,TYPEMR|4|2,csp_6_7,dip|1|4,False,30,ACT1.2,Female,A,Neuville-sur-Ain,Commune simple,01,1827,24810,,,,,
617,01276,TYPEMR|3|2,csp_5_6,dip|3,False,43,ACT1.1,Female,E,Niévroz,Commune simple,01,1651,24810,,,,,
627,01283,TYPEMR|4|2,csp_8_5,dip|1|2,False,55,ACT2.4,Female,A,Oyonnax,Chef-lieu canton,01,22935,24810,,,,,
632,01283,TYPEMR|1|1,csp_6_7,dip|3,False,42,ACT1.2,Male,E,Oyonnax,Chef-lieu canton,01,22935,24810,,,,,
633,01283,TYPEMR|4|1,csp_8_4,dip|1|7,True,20,ACT2.2,Female,A,Oyonnax,Chef-lieu canton,01,22935,24810,,,,,
638,01283,TYPEMR|4|4,csp_7_2,dip|1|3,False,64,ACT2.1,Male,E,Oyonnax,Chef-lieu canton,01,22935,24810,CF-117,CF-117,1.0,"Fédération Française de judo-jujitsu, kendo et disciplines associées",Fédération unisport olympique
640,01283,TYPEMR|4|2,csp_8_4,dip|1|2,True,18,ACT2.2,Female,A,Oyonnax,Chef-lieu canton,01,22935,24810,,,,,
651,01283,TYPEMR|1|2,csp_8_6,dip|1,False,84,ACT2.1,Female,A,Oyonnax,Chef-lieu canton,01,22935,24810,,,,,
657,01283,TYPEMR|3|2,csp_4_8,dip|1|4,False,26,ACT1.2,Female,A,Oyonnax,Chef-lieu canton,01,22935,24810,,,,,
658,01283,TYPEMR|4|1,csp_6_7,dip|3,False,43,ACT1.1,Male,E,Oyonnax,Chef-lieu canton,01,22935,24810,,,,,
659,01283,TYPEMR|1|2,csp_8_5,dip|1|4,False,46,ACT2.5,Female,E,Oyonnax,Chef-lieu canton,01,22935,24810,,,,,
664,01285,TYPEMR|1|2,csp_4_5,dip|1|4,False,61,ACT1.1,Female,A,Parcieux,Commune simple,01,1259,24810,,,,,
667,01288,TYPEMR|4|1,csp_8_4,dip|1|2,True,19,ACT2.2,Male,A,Péron,Commune simple,01,2772,24810,,,,,
668,01288,TYPEMR|4|1,csp_4_3,dip|1|7,False,43,ACT1.1,Female,A,Péron,Commune simple,01,2772,24810,,,,,
671,01289,TYPEMR|4|1,csp_8_5,dip|3,True,17,ACT2.2,Male,A,Péronnas,Chef-lieu canton,01,6811,24810,,,,,
672,01289,TYPEMR|1|1,csp_2_1,dip|1|3,False,60,ACT1.1,Male,E,Péronnas,Chef-lieu canton,01,6811,24810,,,,,
673,01289,TYPEMR|4|2,csp_8_5,dip|1|4,False,48,ACT2.4,Female,A,Péronnas,Chef-lieu canton,01,6811,24810,,,,,
680,01291,TYPEMR|4|4,csp_7_2,dip|1|7,False,103,ACT2.1,Female,A,Perrex,Commune simple,01,849,24810,,,,,
688,01301,TYPEMR|1|2,csp_7_2,dip|1|2,False,74,ACT2.1,Female,E,Polliat,Commune simple,01,2608,24810,,,,,
692,01304,TYPEMR|1|2,csp_2_2,dip|1|6,False,60,ACT1.1,Female,A,Pont-d'Ain,Chef-lieu canton,01,2977,24810,CF-404,CF-404,4.0,Fédération Française de la retraite sportive,Fédération multisports affinitaire
702,01313,TYPEMR|4|1,csp_2_2,dip|1|6,False,46,ACT1.1,Male,A,Prévessin-Moëns,Commune simple,01,8950,24810,,,,,
703,01313,TYPEMR|4|1,csp_2_2,dip|1|3,False,48,ACT1.1,Male,A,Prévessin-Moëns,Commune simple,01,8950,24810,,,,,
708,01313,TYPEMR|2|0,csp_7_2,dip|1|3,False,64,ACT2.1,Male,A,Prévessin-Moëns,Commune simple,01,8950,24810,,,,,
711,01313,TYPEMR|4|1,csp_8_4,dip|1|3,True,24,ACT2.2,Male,A,Prévessin-Moëns,Commune simple,01,8950,24810,,,,,
712,01313,TYPEMR|4|2,csp_8_5,dip|3,False,36,ACT2.5,Female,E,Prévessin-Moëns,Commune simple,01,8950,24810,CF-109,CF-109,1.0,Fédération Française d'équitation,Fédération unisport olympique
718,01313,TYPEMR|4|1,csp_8_4,dip|1|2,True,19,ACT2.2,Male,A,Prévessin-Moëns,Commune simple,01,8950,24810,,,,,
719,01313,TYPEMR|4|1,csp_8_4,dip|1|2,True,19,ACT2.2,Female,A,Prévessin-Moëns,Commune simple,01,8950,24810,CF-205,CF-205,2.0,Fédération Française d'aïkido et de budo,Fédération unisport non olympique
721,01313,TYPEMR|4|1,csp_8_5,dip|3,True,17,ACT2.2,Male,A,Prévessin-Moëns,Commune simple,01,8950,24810,CF-602,CF-602,6.0,Fédération sportive éducative de l'enseignement catholique (UGSEL),Fédération multisports scolaire ou universitaire
727,01320,TYPEMR|4|1,csp_2_1,dip|1|5,False,53,ACT1.1,Male,E,Replonges,Commune simple,01,3882,24810,,,,,
728,01320,TYPEMR|4|4,csp_5_2,dip|1,False,59,ACT1.2,Female,A,Replonges,Commune simple,01,3882,24810,,,,,
732,01320,TYPEMR|1|1,csp_8_4,dip|1|8,True,33,ACT2.2,Male,E,Replonges,Commune simple,01,3882,24810,,,,,
733,01320,TYPEMR|4|1,csp_3_1,dip|1|8,False,62,ACT1.1,Female,E,Replonges,Commune simple,01,3882,24810,,,,,
739,01322,TYPEMR|4|4,csp_8_6,dip|1|7,False,65,ACT2.1,Female,A,Reyrieux,Chef-lieu canton,01,5124,24810,,,,,
741,01322,TYPEMR|4|1,csp_8_4,dip|1|2,True,17,ACT2.2,Male,E,Reyrieux,Chef-lieu canton,01,5124,24810,CF-111,CF-111,1.0,Fédération Française de football,Fédération unisport olympique
742,01322,TYPEMR|4|3,csp_8_5,dip|1|4,False,37,ACT2.5,Male,E,Reyrieux,Chef-lieu canton,01,5124,24810,,,,,
743,01329,TYPEMR|1|2,csp_8_6,dip|1|2,False,85,ACT2.1,Female,A,Rossillon,Commune simple,01,159,24810,,,,,
750,01333,TYPEMR|4|1,csp_2_3,dip|1|3,False,37,ACT1.1,Male,E,Saint-André-de-Corcy,Commune simple,01,3428,24810,,,,,
753,01334,TYPEMR|1|2,csp_7_1,dip|2,False,90,ACT2.1,Female,A,Saint-André-d'Huiriat,Commune simple,01,667,24810,,,,,
757,01339,TYPEMR|1|2,csp_7_1,dip|1|1,False,90,ACT2.1,Female,A,Saint-Bernard,Commune simple,01,1506,24810,,,,,
760,01343,TYPEMR|4|1,csp_8_4,dip|3,True,18,ACT2.2,Male,A,Saint-Cyr-sur-Menthon,Commune simple,01,1834,24810,CF-111,CF-111,1.0,Fédération Française de football,Fédération unisport olympique
766,01343,TYPEMR|4|1,csp_8_4,dip|1|2,True,17,ACT2.2,Male,A,Saint-Cyr-sur-Menthon,Commune simple,01,1834,24810,CF-111,CF-111,1.0,Fédération Française de football,Fédération unisport olympique
