PRIMARY_KEY,INSEE,Household_type,JOB_42,Highest_degree,Studying,AGE_2019,act,sex,target,ECO_SECT,LAST_DEP,Job_dep,job_desc,TYPE_OF_CONTRACT,job_category,Work_condition,company_category,Working_hours,employee_count,LAST_JOB_42,last_emp_type,retirement_age,Retirement_pay,Nom de la commune,town_type,DEP,community_size,dep_median_inc,sports,Code,Categorie,Nom fédération,Nom catégorie,dep_act_rate
113,01034,TYPEMR|4|4,csp_7_7,dip|1|3,False,87,ACT2.1,Male,E,MB,89,91,534a,CDI,O,C,ct_5,980.0,tr_6,csp_5_3,EMP1.6,60,29666,Belley,Sous-préfecture,01,9582,24810,,,,,,83.9
128,01043,TYPEMR|2|0,csp_7_8,dip|1|1,False,79,ACT2.1,Female,E,KZ,68,68,684a,CDI,O,P,ct_9,1556.0,tr_1,csp_6_8,EMP1.6,60,11891,Beynost,Commune simple,01,4867,24810,,,,,,78.0
151,01053,TYPEMR|3|1,csp_7_8,dip|1|6,False,65,ACT2.1,Male,A,EZ,94,94,644a,CDI,O,C,ct_9,1820.0,tr_5,csp_6_4,EMP1.6,56,19843,Bourg-en-Bresse,Préfecture,01,42853,24810,,,,,,86.1
153,01053,TYPEMR|4|4,csp_7_7,dip|1|2,False,64,ACT2.1,Male,E,NZ,13,13,543g,CDI,O,C,ct_9,1820.0,tr_1,csp_5_4,EMP1.6,55,18642,Bourg-en-Bresse,Préfecture,01,42853,24810,CF-404,CF-404,4.0,Fédération Française de la retraite sportive,Fédération multisports affinitaire,73.7
161,01053,TYPEMR|1|2,csp_7_7,dip|1|3,False,75,ACT2.1,Female,A,JC,,,544a,CDI,O,C,ct_9,1701.0,tr_2,csp_5_4,EMP1.6,60,13962,Bourg-en-Bresse,Préfecture,01,42853,24810,,,,,,
167,01053,TYPEMR|1|1,csp_7_8,dip|1|2,False,68,ACT2.1,Male,E,FZ,62,59,632f,CDI,O,C,ct_9,1781.0,tr_3,csp_6_3,EMP1.6,59,25906,Bourg-en-Bresse,Préfecture,01,42853,24810,,,,,,74.1
179,01053,TYPEMR|4|4,csp_7_8,dip|1|1,False,82,ACT2.1,Male,E,CK,68,68,623g,CDI,O,C,ct_9,1071.0,tr_5,csp_6_2,EMP1.6,57,19446,Bourg-en-Bresse,Préfecture,01,42853,24810,,,,,,78.0
184,01053,TYPEMR|4|3,csp_7_8,dip|1|3,False,67,ACT2.1,Male,E,CE,26,26,674a,CDI,O,C,ct_9,1897.0,tr_2,csp_6_7,EMP1.6,62,25772,Bourg-en-Bresse,Préfecture,01,42853,24810,,,,,,69.0
187,01053,TYPEMR|1|2,csp_7_8,dip|3,False,90,ACT2.1,Female,A,NZ,30,75,632k,CDI,O,P,ct_9,601.0,tr_3,csp_6_3,EMP1.6,60,11048,Bourg-en-Bresse,Préfecture,01,42853,24810,,,,,,86.9
201,01053,TYPEMR|4|4,csp_7_7,dip|1|3,False,82,ACT2.1,Female,A,PZ,85,85,525b,CDI,O,P,ct_8,550.0,tr_3,csp_5_2,EMP1.6,60,21416,Bourg-en-Bresse,Préfecture,01,42853,24810,,,,,,66.6
203,01053,TYPEMR|4|4,csp_7_8,dip|2,False,77,ACT2.1,Female,A,NZ,47,47,684a,CDI,O,P,ct_9,1324.0,tr_5,csp_6_8,EMP1.6,60,9791,Bourg-en-Bresse,Préfecture,01,42853,24810,,,,,,63.1
204,01053,TYPEMR|4|4,csp_7_8,dip|1|1,False,73,ACT2.1,Male,E,CA,95,92,674c,CDI,O,C,ct_9,1820.0,tr_5,csp_6_7,EMP1.6,55,21268,Bourg-en-Bresse,Préfecture,01,42853,24810,,,,,,92.4
206,01053,TYPEMR|1|1,csp_7_5,dip|1|3,False,61,ACT2.1,Male,E,OZ,80,80,471a,CDI,O,C,ct_1,1820.0,tr_2,csp_4_7,EMP1.6,60,31984,Bourg-en-Bresse,Préfecture,01,42853,24810,,,,,,70.4
209,01053,TYPEMR|4|4,csp_7_8,dip|1|1,False,73,ACT2.1,Male,E,QB,21,21,685a,CDI,O,C,ct_8,1797.0,tr_4,csp_6_8,EMP1.6,65,13491,Bourg-en-Bresse,Préfecture,01,42853,24810,,,,,,72.2
217,01057,TYPEMR|4|4,csp_7_7,dip|1|2,False,82,ACT2.1,Male,E,QA,44,44,526b,CDI,O,P,ct_6,936.0,tr_1,csp_5_2,EMP1.6,65,14598,Boz,Commune simple,01,535,24810,,,,,,76.6
228,01064,TYPEMR|4|3,csp_7_8,dip|2,False,63,ACT2.1,Male,A,HZ,12,12,651b,CDI,O,P,ct_9,1080.0,tr_1,csp_6_5,EMP1.6,63,13827,Briord,Commune simple,01,1090,24810,,,,,,62.8
240,01071,TYPEMR|4|4,csp_7_7,dip|1|1,False,63,ACT2.1,Male,A,IZ,13,13,554h,CDI,O,C,,381.0,,csp_5_5,EMP1.6,58,13152,Cessy,Commune simple,01,4925,24810,,,,,,73.7
242,01072,TYPEMR|4|4,csp_7_5,dip|1|4,False,78,ACT2.1,Male,E,IZ,05,05,477d,CDI,O,C,ct_8,1516.0,tr_3,csp_4_7,EMP1.6,60,22357,Ceyzériat,Chef-lieu canton,01,3256,24810,,,,,,63.0
248,01074,TYPEMR|4|4,csp_7_5,dip|1|2,False,80,ACT2.1,Male,E,CG,13,,462e,CDI,O,C,ct_9,1635.0,tr_1,csp_4_6,EMP1.6,55,25532,Chalamont,Chef-lieu canton,01,2624,24810,,,,,,
252,01074,TYPEMR|4|4,csp_7_7,dip|1|6,False,85,ACT2.1,Female,A,QB,31,31,525d,CDI,O,P,ct_8,1179.0,tr_5,csp_5_2,EMP1.6,60,8881,Chalamont,Chef-lieu canton,01,2624,24810,,,,,,80.0
253,01075,TYPEMR|4|4,csp_7_5,dip|1|6,False,68,ACT2.1,Female,A,PZ,59,59,422c,CDI,O,P,ct_8,1419.0,tr_5,csp_4_2,EMP1.6,65,16017,Chaleins,Commune simple,01,1413,24810,,,,,,74.1
275,01093,TYPEMR|1|1,csp_7_5,dip|1|3,False,68,ACT2.1,Male,E,KZ,69,69,467b,CDI,O,P,ct_9,1757.0,tr_6,csp_4_6,EMP1.6,60,21971,Châtillon-sur-Chalaronne,Chef-lieu canton,01,5134,24810,,,,,,79.4
283,01099,TYPEMR|4|4,csp_7_5,dip|1|3,False,73,ACT2.1,Male,E,CJ,46,46,462c,CDI,O,C,ct_9,1667.0,tr_4,csp_4_6,EMP1.6,60,22604,Chazey-sur-Ain,Commune simple,01,1623,24810,,,,,,58.1
295,01107,TYPEMR|4|4,csp_7_7,dip|2,False,65,ACT2.1,Female,A,QA,73,73,526b,CDI,O,C,ct_6,503.0,tr_1,csp_5_2,EMP1.6,65,61616,Cleyzieu,Commune simple,01,137,24810,,,,,,72.8
299,01109,TYPEMR|1|2,csp_7_7,dip|1|7,False,69,ACT2.1,Female,A,QB,59,59,563b,AUT,O,C,ct_2,1819.0,tr_5,csp_5_6,EMP1.5,60,13445,Collonges,Chef-lieu canton,01,2272,24810,,,,,,74.1
302,01109,TYPEMR|4|4,csp_7_7,dip|1|4,False,63,ACT2.1,Female,A,KZ,83,83,545b,CDI,O,C,ct_9,526.0,tr_2,csp_5_4,EMP1.6,60,21348,Collonges,Chef-lieu canton,01,2272,24810,,,,,,64.1
310,01124,TYPEMR|4|4,csp_7_7,dip|1|2,False,91,ACT2.1,Female,A,QB,61,61,563b,CDI,O,P,ct_8,1506.0,tr_3,csp_5_6,EMP1.6,60,12122,Cormoz,Commune simple,01,697,24810,,,,,,62.9
316,01130,TYPEMR|4|3,csp_7_8,dip|1|3,False,65,ACT2.1,Male,E,MC,78,78,653a,CDI,O,C,ct_9,1878.0,tr_5,csp_6_5,EMP1.6,65,16550,Bresse Vallons,Commune simple,01,2407,24810,,,,,,86.9
319,01133,TYPEMR|4|3,csp_7_8,dip|2,False,73,ACT2.1,Male,A,CK,38,38,628g,CDI,O,C,ct_9,660.0,tr_5,csp_6_2,EMP1.6,62,15445,Cressin-Rochefort,Commune simple,01,400,24810,,,,,,76.5
324,01134,TYPEMR|4|4,csp_7_5,dip|1|3,False,71,ACT2.1,Female,A,PZ,62,62,421b,CDI,O,P,ct_8,1471.0,tr_1,csp_4_2,EMP1.6,60,14197,Crottet,Commune simple,01,1803,24810,,,,,,70.6
331,01138,TYPEMR|4|4,csp_7_7,dip|1|3,False,61,ACT2.1,Female,A,GZ,34,34,554a,CDI,O,P,ct_9,1096.0,tr_1,csp_5_5,EMP1.6,61,10238,Culoz,Commune simple,01,3068,24810,,,,,,68.8
334,01138,TYPEMR|1|2,csp_7_5,dip|1|1,False,88,ACT2.1,Female,A,QA,79,79,451h,CDI,O,P,ct_3,1456.0,tr_6,csp_4_5,EMP1.6,60,14716,Culoz,Commune simple,01,3068,24810,,,,,,70.5
344,01142,TYPEMR|4|4,csp_7_7,dip|1|6,False,72,ACT2.1,Female,A,KZ,80,75,545c,CDI,O,C,ct_9,1820.0,tr_4,csp_5_4,EMP1.6,54,11014,Dagneux,Commune simple,01,4834,24810,,,,,,86.9
350,01143,TYPEMR|4|3,csp_7_8,dip|1|3,False,65,ACT2.1,Male,A,CG,54,54,625c,CDI,O,C,ct_9,1719.0,tr_4,csp_6_2,EMP1.6,55,25033,Divonne-les-Bains,Commune simple,01,10190,24810,,,,,,67.3
357,01143,TYPEMR|4|4,csp_7_5,dip|1|6,False,70,ACT2.1,Female,A,PZ,60,60,422b,CDI,O,C,ct_8,1820.0,tr_3,csp_4_2,EMP1.6,60,20973,Divonne-les-Bains,Commune simple,01,10190,24810,,,,,,76.7
386,01160,TYPEMR|1|2,csp_7_7,dip|1|6,False,85,ACT2.1,Female,A,OZ,83,83,525a,CDI,O,C,,133.0,,csp_5_2,EMP1.6,65,20046,Ferney-Voltaire,Chef-lieu canton,01,10189,24810,,,,,,64.1
391,01160,TYPEMR|1|2,csp_7_7,dip|1|7,False,63,ACT2.1,Female,A,GZ,06,06,542a,CDI,O,P,ct_9,847.0,tr_1,csp_5_4,EMP1.6,60,12761,Ferney-Voltaire,Chef-lieu canton,01,10189,24810,,,,,,72.3
410,01173,TYPEMR|4|4,csp_7_8,dip|1|3,False,77,ACT2.1,Male,A,EZ,22,22,641a,CDI,O,C,ct_9,1522.0,tr_3,csp_6_4,EMP1.6,56,22350,Gex,Sous-préfecture,01,13391,24810,,,,,,64.1
426,01173,TYPEMR|2|0,csp_7_5,dip|1|4,False,69,ACT2.1,Male,A,QB,06,06,461d,CDI,O,C,ct_8,1820.0,tr_4,csp_4_6,EMP1.6,60,23493,Gex,Sous-préfecture,01,13391,24810,,,,,,72.3
432,01175,TYPEMR|4|4,csp_7_4,dip|1|7,False,81,ACT2.1,Male,E,PZ,47,47,341a,CDI,O,C,ct_8,1820.0,tr_3,csp_3_4,EMP1.6,55,31432,Gorrevod,Commune simple,01,807,24810,,,,,,63.1
433,01179,TYPEMR|4|4,csp_7_4,dip|1|3,False,70,ACT2.1,Male,E,KZ,44,44,374b,CDI,O,C,ct_9,1778.0,tr_3,csp_3_7,EMP1.6,55,45682,Grièges,Commune simple,01,1933,24810,,,,,,76.6
472,01195,TYPEMR|4|4,csp_7_8,dip|1|3,False,79,ACT2.1,Male,A,PZ,74,74,691b,CDI,O,P,,481.0,,csp_6_9,EMP1.6,65,9582,Jasseron,Commune simple,01,1837,24810,,,,,,83.7
479,01199,TYPEMR|1|1,csp_7_7,dip|1,False,77,ACT2.1,Male,E,GZ,33,33,554a,CDI,O,P,ct_6,578.0,tr_0,csp_5_5,EMP1.6,60,11889,Jujurieux,Commune simple,01,2183,24810,,,,,,76.4
483,01202,TYPEMR|4|4,csp_7_8,dip|2,False,68,ACT2.1,Female,A,SZ,56,56,684a,AUT,O,C,,260.0,,csp_6_8,EMP1.5,65,21184,Lagnieu,Chef-lieu canton,01,7308,24810,,,,,,64.8
487,01202,TYPEMR|2|0,csp_7_7,dip|1|5,False,78,ACT2.1,Male,A,RZ,27,27,534a,CDI,O,C,,166.0,,csp_5_3,EMP1.6,60,15257,Lagnieu,Chef-lieu canton,01,7308,24810,,,,,,73.0
495,01210,TYPEMR|4|3,csp_7_8,dip|2,False,67,ACT2.1,Male,A,NZ,93,94,632k,CDI,O,C,ct_9,2014.0,tr_6,csp_6_3,EMP1.6,65,17290,Lélex,Commune simple,01,232,24810,,,,,,86.1
508,01224,TYPEMR|4|4,csp_7_8,dip|1|3,False,69,ACT2.1,Male,E,FZ,51,55,681a,CDI,O,C,ct_9,1724.0,tr_2,csp_6_8,EMP1.6,60,24967,Loyettes,Commune simple,01,3256,24810,,,,,,66.1
510,01224,TYPEMR|4|4,csp_7_5,dip|1|7,False,79,ACT2.1,Male,E,LZ,75,75,463d,CDI,O,C,ct_9,1842.0,tr_3,csp_4_6,EMP1.6,65,15677,Loyettes,Commune simple,01,3256,24810,,,,,,86.9
513,01225,TYPEMR|3|2,csp_7_8,dip|1|1,False,94,ACT2.1,Female,E,CA,44,44,674c,CDI,O,C,ct_9,525.0,tr_5,csp_6_7,EMP1.6,65,19853,Lurcy,Commune simple,01,380,24810,,,,,,76.6
519,01236,TYPEMR|1|2,csp_7_7,dip|1|1,False,88,ACT2.1,Female,A,QB,60,60,563a,CDI,O,N,ct_7,2412.0,tr_0,csp_5_6,EMP1.6,60,11048,Marsonnas,Commune simple,01,1040,24810,,,,,,76.7
524,01241,TYPEMR|4|4,csp_7_5,dip|1|7,False,79,ACT2.1,Male,E,PZ,56,56,435b,CDI,O,C,,449.0,,csp_4_3,EMP1.6,60,21739,Meillonnas,Commune simple,01,1390,24810,CF-211,CF-211,2.0,Fédération Française du sport boules,Fédération unisport non olympique,64.8
526,01241,TYPEMR|4|4,csp_7_5,dip|1|6,False,70,ACT2.1,Male,E,OZ,42,42,483a,AUT,O,C,ct_1,1824.0,tr_6,csp_4_8,EMP1.5,56,25499,Meillonnas,Commune simple,01,1390,24810,,,,,,69.2
532,01244,TYPEMR|4|4,csp_7_8,dip|3,False,69,ACT2.1,Male,E,HZ,67,67,641a,CDI,O,C,ct_9,2200.0,tr_3,csp_6_4,EMP1.6,60,22710,Meximieux,Chef-lieu canton,01,8062,24810,CF-245,CF-245,2.0,Fédération Française de la randonnée pédestre,Fédération unisport non olympique,76.6
535,01244,TYPEMR|4|4,csp_7_5,dip|1|3,False,75,ACT2.1,Male,E,MA,73,73,461f,CDI,O,C,ct_9,1833.0,tr_2,csp_4_6,EMP1.6,60,26084,Meximieux,Chef-lieu canton,01,8062,24810,,,,,,72.8
554,01249,TYPEMR|4|4,csp_7_8,dip|1|3,False,69,ACT2.1,Male,E,MC,17,17,643a,CDI,O,P,ct_9,974.0,tr_3,csp_6_4,EMP1.6,60,13534,Miribel,Chef-lieu canton,01,10273,24810,,,,,,62.3
560,01249,TYPEMR|1|2,csp_7_5,dip|1|8,False,71,ACT2.1,Female,A,SZ,31,31,434a,CDI,O,C,ct_8,1820.0,tr_6,csp_4_3,EMP1.6,64,14216,Miribel,Chef-lieu canton,01,10273,24810,,,,,,80.0
562,01249,TYPEMR|1|2,csp_7_8,dip|1|1,False,84,ACT2.1,Female,A,OZ,89,89,621f,CDI,O,P,,369.0,,csp_6_2,EMP1.6,60,11692,Miribel,Chef-lieu canton,01,10273,24810,,,,,,66.0
567,01249,TYPEMR|1|2,csp_7_5,dip|1|7,False,66,ACT2.1,Female,E,QA,69,69,451h,CDI,O,C,ct_3,1820.0,tr_6,csp_4_5,EMP1.6,57,18020,Miribel,Chef-lieu canton,01,10273,24810,,,,,,79.4
580,01262,TYPEMR|4|1,csp_7_8,dip|1|1,False,94,ACT2.1,Female,E,CA,22,22,625d,CDI,O,C,ct_9,1845.0,tr_5,csp_6_2,EMP1.6,60,15012,Montluel,Chef-lieu canton,01,6969,24810,,,,,,64.1
583,01262,TYPEMR|4|4,csp_7_4,dip|1|8,False,68,ACT2.1,Male,E,DZ,92,93,388b,CDI,O,C,ct_9,1806.0,tr_6,csp_3_8,EMP1.6,65,31017,Montluel,Chef-lieu canton,01,6969,24810,,,,,,82.5
589,01263,TYPEMR|1|2,csp_7_7,dip|2,False,84,ACT2.1,Female,A,QB,81,81,526d,CDI,O,C,ct_8,1251.0,tr_4,csp_5_2,EMP1.6,56,12347,Montmerle-sur-Saône,Commune simple,01,3859,24810,,,,,,65.3
591,01263,TYPEMR|4|4,csp_7_4,dip|1|1,False,84,ACT2.1,Male,E,RZ,61,14,354b,CDI,O,C,,133.0,,csp_3_5,EMP1.6,59,31166,Montmerle-sur-Saône,Commune simple,01,3859,24810,CF-211,CF-211,2.0,Fédération Française du sport boules,Fédération unisport non olympique,69.8
618,01276,TYPEMR|4|4,csp_7_5,dip|1|2,False,70,ACT2.1,Female,E,HZ,38,38,461c,CDI,O,C,ct_9,1815.0,tr_3,csp_4_6,EMP1.6,55,19302,Niévroz,Commune simple,01,1651,24810,,,,,,76.5
626,01281,TYPEMR|4|3,csp_7_8,dip|2,False,86,ACT2.1,Male,A,GZ,47,47,676c,CDI,O,P,ct_9,1339.0,tr_4,csp_6_7,EMP1.6,64,11863,Ornex,Commune simple,01,4653,24810,,,,,,63.1
644,01283,TYPEMR|1|2,csp_7_8,dip|1|1,False,84,ACT2.1,Female,A,NZ,37,41,684a,CDD,O,P,ct_9,180.0,tr_1,csp_6_8,EMP1.5,65,20885,Oyonnax,Chef-lieu canton,01,22935,24810,,,,,,66.7
646,01283,TYPEMR|1|2,csp_7_7,dip|1|6,False,85,ACT2.1,Female,A,GZ,37,37,541b,CDI,O,C,ct_8,1813.0,tr_3,csp_5_4,EMP1.6,65,12204,Oyonnax,Chef-lieu canton,01,22935,24810,,,,,,71.3
647,01283,TYPEMR|4|4,csp_7_7,dip|1|3,False,73,ACT2.1,Male,E,NZ,95,78,534a,CDI,O,C,ct_9,1827.0,tr_5,csp_5_3,EMP1.6,61,8881,Oyonnax,Chef-lieu canton,01,22935,24810,,,,,,86.9
663,01284,TYPEMR|4|4,csp_7_8,dip|1|1,False,73,ACT2.1,Male,E,NZ,91,91,655a,TTP,O,C,ct_9,725.0,tr_1,csp_6_5,EMP1.2,54,17197,Ozan,Commune simple,01,707,24810,,,,,,83.9
681,01294,TYPEMR|1|2,csp_7_7,dip|1|4,False,84,ACT2.1,Female,E,GZ,34,34,554f,CDI,O,C,ct_9,1229.0,tr_1,csp_5_5,EMP1.6,64,14485,Peyrieu,Commune simple,01,902,24810,,,,,,68.8
686,01299,TYPEMR|1|2,csp_7_7,dip|1|1,False,71,ACT2.1,Female,A,QB,72,72,563a,CDI,O,N,ct_7,3000.0,tr_1,csp_5_6,EMP1.6,59,11048,Le Plantay,Commune simple,01,592,24810,,,,,,69.0
698,01313,TYPEMR|1|2,csp_7_7,dip|1|1,False,89,ACT2.1,Female,A,QB,76,76,526d,CDI,O,C,ct_8,1819.0,tr_4,csp_5_2,EMP1.6,56,13573,Prévessin-Moëns,Commune simple,01,8950,24810,,,,,,71.9
717,01313,TYPEMR|4|4,csp_7_7,dip|1|3,False,78,ACT2.1,Male,E,OZ,76,76,524b,CDI,O,P,ct_1,1517.0,tr_5,csp_5_2,EMP1.6,60,30755,Prévessin-Moëns,Commune simple,01,8950,24810,,,,,,71.9
730,01320,TYPEMR|4|4,csp_7_8,dip|1|1,False,75,ACT2.1,Male,E,HZ,13,13,641a,CDI,O,C,ct_9,1931.0,tr_0,csp_6_4,EMP1.6,60,14878,Replonges,Commune simple,01,3882,24810,,,,,,73.7
749,01333,TYPEMR|4|4,csp_7_7,dip|1|2,False,81,ACT2.1,Male,E,OZ,92,92,525c,CDI,O,C,ct_1,1818.0,tr_6,csp_5_2,EMP1.6,56,33261,Saint-André-de-Corcy,Commune simple,01,3428,24810,CF-211,CF-211,2.0,Fédération Française du sport boules,Fédération unisport non olympique,92.4
773,01344,TYPEMR|4|4,csp_7_4,dip|1|7,False,73,ACT2.1,Male,E,OZ,92,92,354g,AUT,O,P,ct_2,1461.0,tr_6,csp_3_5,EMP1.5,65,26929,Saint-Denis-lès-Bourg,Commune simple,01,6109,24810,,,,,,92.4
787,01347,TYPEMR|1|1,csp_7_8,dip|1,False,72,ACT2.1,Male,E,NZ,91,78,675c,TTP,O,C,ct_9,1309.0,tr_1,csp_6_7,EMP1.5,59,25675,Saint-Didier-de-Formans,Commune simple,01,2098,24810,CF-211,CF-211,2.0,Fédération Française du sport boules,Fédération unisport non olympique,86.9
789,01347,TYPEMR|4|4,csp_7_5,dip|1|3,False,55,ACT2.1,Male,E,MA,31,31,478a,CDI,O,C,ct_9,1340.0,tr_4,csp_4_7,EMP1.6,55,15887,Saint-Didier-de-Formans,Commune simple,01,2098,24810,,,,,,80.0
799,01350,TYPEMR|1|2,csp_7_7,dip|1|5,False,65,ACT2.1,Female,E,QB,13,13,526c,CDI,O,C,ct_9,1486.0,tr_3,csp_5_2,EMP1.6,60,12821,Saint-Étienne-du-Bois,Commune simple,01,2582,24810,,,,,,73.7
803,01351,TYPEMR|2|0,csp_7_5,dip|2,False,89,ACT2.1,Female,A,SZ,67,67,435a,CDI,O,C,ct_8,700.0,tr_1,csp_4_3,EMP1.6,70,24616,Saint-Étienne-sur-Chalaronne,Commune simple,01,1597,24810,,,,,,76.6
804,01351,TYPEMR|4|4,csp_7_7,dip|1|3,False,82,ACT2.1,Female,A,QB,17,17,526a,CDI,O,P,,168.0,,csp_5_2,EMP1.6,65,19230,Saint-Étienne-sur-Chalaronne,Commune simple,01,1597,24810,,,,,,62.3
812,01353,TYPEMR|4|4,csp_7_5,dip|1|3,False,81,ACT2.1,Male,E,PZ,56,56,421b,CDI,O,C,ct_8,1820.0,tr_3,csp_4_2,EMP1.6,60,26123,Sainte-Euphémie,Commune simple,01,1728,24810,,,,,,64.8
815,01354,TYPEMR|4|4,csp_7_7,dip|1|3,False,67,ACT2.1,Female,A,KZ,72,72,543h,CDI,O,C,ct_9,1521.0,tr_6,csp_5_4,EMP1.6,61,21287,Saint-Genis-Pouilly,Commune simple,01,14143,24810,,,,,,69.0
819,01354,TYPEMR|1|1,csp_7_7,dip|1|3,False,89,ACT2.1,Male,A,QA,62,62,526e,CDI,O,C,ct_9,1875.0,tr_3,csp_5_2,EMP1.6,59,15677,Saint-Genis-Pouilly,Commune simple,01,14143,24810,,,,,,70.6
828,01354,TYPEMR|3|2,csp_7_7,dip|1|1,False,65,ACT2.1,Female,E,QA,94,94,526b,CDI,O,P,ct_9,1352.0,tr_1,csp_5_2,EMP1.6,60,16141,Saint-Genis-Pouilly,Commune simple,01,14143,24810,,,,,,86.1
830,01354,TYPEMR|1|1,csp_7_8,dip|1|3,False,67,ACT2.1,Male,E,NZ,91,91,691d,TTP,O,C,ct_9,776.0,tr_1,csp_6_9,EMP1.5,57,11889,Saint-Genis-Pouilly,Commune simple,01,14143,24810,,,,,,83.9
832,01354,TYPEMR|4|4,csp_7_8,dip|1|4,False,90,ACT2.1,Female,A,QB,13,13,681b,AUT,X,P,ct_8,1171.0,tr_5,csp_6_8,EMP1.3,63,9874,Saint-Genis-Pouilly,Commune simple,01,14143,24810,,,,,,73.7
837,01360,TYPEMR|4|4,csp_7_4,dip|1|8,False,72,ACT2.1,Female,A,RZ,69,69,351a,AUT,O,C,ct_1,1828.0,tr_5,csp_3_5,EMP1.5,60,21350,Saint-Jean-de-Gonville,Commune simple,01,1943,24810,,,,,,79.4
867,01371,TYPEMR|1|2,csp_7_7,dip|1|2,False,87,ACT2.1,Female,A,OZ,77,94,524b,CDI,O,C,,208.0,,csp_5_2,EMP1.6,65,13220,Saint-Marcel,Commune simple,01,1271,24810,,,,,,86.1
871,01374,TYPEMR|1|2,csp_7_7,dip|1|2,False,76,ACT2.1,Female,E,QB,27,78,563b,CDI,O,N,ct_7,237.0,tr_1,csp_5_6,EMP1.6,60,11048,Saint-Martin-du-Mont,Commune simple,01,1916,24810,,,,,,86.9
874,01376,TYPEMR|1|2,csp_7_7,dip|1|1,False,82,ACT2.1,Female,A,QA,57,57,525d,CDI,O,C,ct_8,1820.0,tr_6,csp_5_2,EMP1.6,55,18009,Saint-Maurice-de-Beynost,Commune simple,01,4001,24810,,,,,,62.9
896,01389,TYPEMR|4|4,csp_7_8,dip|2,False,77,ACT2.1,Female,A,HZ,16,16,642b,CDI,O,P,ct_9,593.0,tr_0,csp_6_4,EMP1.6,60,9299,Saint-Trivier-sur-Moignans,Chef-lieu canton,01,1877,24810,,,,,,66.7
898,01392,TYPEMR|4|4,csp_7_7,dip|1|6,False,65,ACT2.1,Female,A,OZ,93,93,531b,CDD,O,P,ct_2,454.0,tr_6,csp_5_3,EMP1.5,65,12877,Samognat,Commune simple,01,683,24810,,,,,,82.5
