Code,Categorie,Nom fédération,Nom catégorie
"CF-411",4,"Fédération sportive de la Police Nationale","Fédération multisports affinitaire"
"CF-413",4,"Union Française des oeuvres laïques d'éducation physique (UFOLEP)","Fédération multisports affinitaire"
"CF-414",4,"Union nationale des centres sportifs de plein air (UCPA)","Fédération multisports affinitaire"
"CF-415",4,"Fédération Française omnsisports des personnels de l'éducation nationale et jeunesse et sports","Fédération multisports affinitaire"
"CF-417",4,"Union Nationale Sportive Léo Lagrange","Fédération multisports affinitaire"
"CF-418",4,"Fédération Française du sport d'entreprise","Fédération multisports affinitaire"
"CF-420",4,"Fédération sportive des ASPTT","Fédération multisports affinitaire"
"CF-421",4,"Fédération Française des sports populaires","Fédération multisports affinitaire"
"CF-501",5,"Fédération Française handisport","Fédération multisports sport et handicap"
"CF-503",5,"Fédération Française du sport adapté","Fédération multisports sport et handicap"
"CF-601",6,"Fédération française du sport universitaire","Fédération multisports scolaire ou universitaire"
"CF-602",6,"Fédération sportive éducative de l'enseignement catholique (UGSEL)","Fédération multisports scolaire ou universitaire"
"CF-603",6,"Union nationale des clubs universitaires","Fédération multisports scolaire ou universitaire"
"CF-604",6,"Union nationale du sport scolaire (UNSS)","Fédération multisports scolaire ou universitaire"
"CF-605",6,"Union sportive de l'enseignement du premier degré","Fédération multisports scolaire ou universitaire"
