PRIMARY_KEY,Working_hours,TYPE_OF_CONTRACT,company_category,Work_condition,ECO_SECT,job_desc,employee_count,Job_dep,remuneration,job_category
277,152,"CDI",NA,"P","OZ","531a",NA,"69",2256,"O"
279,1820,"CDI","ct_9","C","FZ","632c","tr_2","69",19523,"O"
282,1325,"TTP","ct_9","N","NZ","636a","tr_1","01",14900,"O"
287,1836,"CDI","ct_9","C","GZ","541b","tr_4","69",23466,"O"
288,1820,"CDI","ct_9","C","FZ","632f","tr_2","01",39833,"O"
290,1968,"CDI","ct_8","C","NZ","373c","tr_3","73",38491,"O"
293,1820,"CDI","ct_9","C","KZ","376d","tr_5","75",59994,"O"
294,1958,"CDI","ct_9","C","CC","627f","tr_4","69",16340,"O"
297,573,"CDI","ct_9","C","QA","431f","tr_5","01",6727,"O"
305,1820,"CDI","ct_8","C","QB","526d","tr_4","39",23233,"O"
309,786,"CDI","ct_8","P","SZ","421a","tr_3","01",20893,"O"
313,1820,"CDI","ct_8","C","QB","421b","tr_4","01",29666,"O"
317,1229,"CDI","ct_6","P","QA","526a","tr_1","01",19896,"O"
321,1242,"CDI","ct_9","C","MA","542a","tr_0","73",13611,"O"
323,1820,"CDI","ct_9","C","NZ","691c","tr_3","01",16228,"O"
325,1045,"CDI","ct_9","C","HZ","477a","tr_6","69",22709,"O"
332,1820,"CDI","ct_9","C","KZ","376c","tr_3","21",34329,"O"
333,1298,"CDI","ct_9","C","GZ","543f","tr_3","01",17862,"O"
338,960,"AUT","ct_8","P","GZ","676a","tr_3","01",9529,"X"
345,1820,"CDI","ct_9","C","CM","387d","tr_6","01",53742,"O"
351,1218,"CDI","ct_9","C","GZ","543f","tr_3","38",26806,"O"
360,1314,"CDI","ct_9","P","IZ","631a","tr_1","69",15363,"O"
371,1916,"CDI","ct_9","C","GZ","551a","tr_3","01",18796,"O"
374,364,"CDI","ct_9","C","FZ","621b","tr_6","69",10913,"O"
380,1820,"CDI","ct_8","C","QB","526d","tr_3","01",21715,"O"
381,1229,"CDI","ct_6","P","QA","526a","tr_1","01",19503,"O"
385,1936,"CDI","ct_9","C","GZ","652a","tr_6","01",23507,"O"
389,1820,"CDI","ct_9","C","CK","624e","tr_6","01",26002,"O"
392,1728,"CDI","ct_9","C","GZ","634c","tr_1","01",48495,"O"
399,1746,"CDI","ct_9","C","GZ","634c","tr_2","01",15962,"O"
400,1861,"CDI","ct_9","C","CG","674a","tr_3","01",18092,"O"
402,1820,"CDI","ct_8","C","QB","486e","tr_4","01",24719,"O"
403,152,"CDI",NA,"P","OZ","531a",NA,"69",2251,"O"
409,1729,"CDI","ct_9","C","FZ","632j","tr_1","01",24012,"O"
413,1764,"CDI","ct_9","C","GZ","653a","tr_3","38",18291,"O"
414,1833,"CDI","ct_9","C","GZ","554a","tr_2","71",21287,"O"
416,1595,"CDI","ct_9","C","JC","478c","tr_3","69",27548,"O"
419,691,"CDI","ct_8","P","QB","434g","tr_2","01",7659,"O"
421,1598,"CDI","ct_8","C","QB","435b","tr_5","01",16454,"O"
423,1451,"AUT","ct_2","P","OZ","434g","tr_6","69",25438,"O"
435,1820,"CDI","ct_8","C","QA","543g","tr_6","01",18415,"O"
439,1665,"CDI","ct_9","C","HZ","676c","tr_6","01",20336,"O"
443,1820,"CDI","ct_9","C","HZ","466c","tr_3","69",31169,"O"
447,1335,"CDI","ct_8","P","QA","431f","tr_1","01",18288,"O"
456,1729,"CDI","ct_9","C","CK","462e","tr_3","01",27892,"O"
473,1638,"CDI","ct_9","P","LZ","461e","tr_6","01",28018,"O"
474,1820,"CDI","ct_9","C","CH","384a","tr_6","69",51540,"O"
476,1570,"CDI","ct_8","P","OZ","478a","tr_5","69",38408,"O"
505,1448,"CDI","ct_9","P","HZ","451a","tr_4","71",16658,"O"
517,1725,"CDI","ct_8","C","SZ","526d","tr_2","01",14689,"O"
520,458,"APP","ct_9","C","CA","683a","tr_1","01",1461,"A"
525,1578,"CDI","ct_9","C","MC","375a","tr_4","69",22077,"O"
527,1820,"AUT","ct_1","C","PZ","422b","tr_4","52",32391,"O"
529,1701,"CDI","ct_8","C","QB","526d","tr_3","01",20723,"O"
537,1300,"CDI","ct_9","P","GZ","554e","tr_1","74",14384,"O"
541,2028,"CDI","ct_9","C","CA","636c","tr_1","74",22522,"O"
544,1820,"CDI","ct_9","C","CC","386e","tr_4","01",36345,"O"
545,1785,"CDI","ct_8","C","QB","526d","tr_4","01",19397,"O"
553,1820,"CDI","ct_8","C","PZ","421b","tr_4","69",30953,"O"
555,1668,"CDI","ct_9","C","CC","627f","tr_3","69",17822,"O"
559,1598,"CDI","ct_8","C","QB","435b","tr_5","01",16620,"O"
563,490,"CDI","ct_9","C","NZ","534a","tr_5","69",7299,"O"
568,2200,"CDI","ct_9","C","CC","627d","tr_2","01",20391,"O"
575,1729,"CDI","ct_8","C","PZ","342c","tr_5","69",34790,"O"
577,826,"CDD","ct_9","C","QA","526a","tr_5","71",9376,"O"
592,3000,"CDI","ct_7","N","QB","563a","tr_1","01",9832,"O"
594,1544,"CDI","ct_9","C","HZ","643a","tr_3","69",21720,"O"
598,1639,"CDI","ct_9","C","IZ","488a","tr_2","69",25569,"O"
601,1465,"CDI","ct_9","C","IZ","636d","tr_1","01",17181,"O"
605,1543,"CDI","ct_9","C","GZ","477a","tr_3","01",24746,"O"
611,1724,"CDI","ct_9","C","QB","525d","tr_4","71",19962,"O"
614,1820,"CDI","ct_9","C","CL","624c","tr_4","01",13083,"O"
616,1826,"AUT","ct_3","C","QA","526a","tr_5","01",21775,"O"
619,1820,"CDI","ct_9","C","KZ","387d","tr_4","69",22331,"O"
621,660,"CDI",NA,"C","TZ","563c",NA,"01",4251,"O"
623,1061,"CDI","ct_9","P","GZ","634c","tr_1","73",12123,"O"
628,1820,"AUT","ct_1","C","OZ","472d","tr_5","01",28885,"O"
630,1694,"CDI","ct_9","P","GZ","552a","tr_2","01",16508,"O"
631,378,"CDD","ct_9","C","GZ","554e","tr_1","01",4343,"O"
634,1721,"CDI","ct_9","P","MC","526b","tr_1","73",16038,"O"
636,1682,"CDI","ct_9","C","FZ","473b","tr_3","01",17316,"O"
639,223,"TTP","ct_9","C","NZ","621c","tr_0","04",2978,"O"
643,1617,"CDI","ct_9","C","NZ","462e","tr_2","01",31945,"O"
648,415,"CDI","ct_9","P","IZ","561f","tr_1","01",3584,"O"
650,1714,"CDI","ct_8","C","QB","525d","tr_4","01",18868,"O"
676,360,"CDI","ct_9","C","SZ","685a","tr_5","01",2405,"O"
682,1318,"CDD","ct_8","C","QB","434b","tr_4","01",15256,"O"
683,1820,"CDI","ct_9","C","CA","463b","tr_3","38",47826,"O"
684,373,"AUT","ct_9","C","HZ","641b","tr_6","69",3484,"X"
689,1820,"AUT","ct_1","C","PZ","341a","tr_4","01",24409,"O"
704,1729,"CDI","ct_9","C","FZ","632a","tr_3","01",22918,"O"
706,1077,"CDI","ct_8","P","QB","526a","tr_4","01",16265,"O"
709,3000,"CDI","ct_9","C","GZ","551a","tr_2","01",35936,"O"
710,1849,"CDI","ct_9","C","GZ","641a","tr_1","69",25632,"O"
714,1106,"CDI","ct_9","C","QA","525d","tr_5","01",11473,"O"
722,1776,"CDI","ct_9","C","GZ","554j","tr_3","01",20997,"O"
724,132,"TOA",NA,"C","IZ","561d",NA,"01",1266,"O"
725,268,"CDI","ct_8","C","QA","636d","tr_4","01",4939,"O"
729,1956,"CDI","ct_9","C","MA","478d","tr_4","92",10920,"O"
734,1324,"CDI","ct_9","C","GZ","554e","tr_1","01",15922,"O"
756,1836,"CDI","ct_9","C","CA","674c","tr_5","71",19633,"O"
765,580,"CDI","ct_8","P","MA","461d","tr_4","01",11848,"O"
767,251,"CDI","ct_7","N","TZ","563a","tr_1","01",2226,"O"
770,1239,"CDI","ct_9","P","KZ","542a","tr_1","69",13666,"O"
774,1387,"CDI","ct_9","P","MA","472b","tr_1","01",16300,"O"
778,875,"CDI","ct_9","P","CG","684a","tr_4","01",6330,"O"
780,1523,"CDI","ct_9","P","HZ","655a","tr_2","69",20725,"O"
783,447,"CDI","ct_9","P","KZ","432d","tr_2","69",7707,"O"
784,890,"CDI","ct_9","P","QB","525d","tr_4","01",9705,"O"
785,694,"AUT",NA,"P","TZ","563c",NA,"01",10451,"O"
786,1762,"CDI","ct_9","C","CG","674a","tr_3","01",22602,"O"
788,1518,"AUT","ct_9","C","KZ","545b","tr_6","13",23967,"X"
791,1623,"CDI","ct_9","C","MA","386c","tr_5","69",36381,"O"
792,665,"CDD","ct_5","P","RZ","561d","tr_4","01",6138,"O"
795,1755,"CDI","ct_9","C","CH","637d","tr_2","01",14628,"O"
797,1891,"CDI","ct_9","C","CM","624b","tr_6","69",15787,"O"
807,158,"CDI",NA,"P","NZ","684a","tr_1","42",1694,"O"
814,1820,"CDD","ct_2","C","OZ","333f","tr_5","01",37471,"O"
817,1456,"CDI","ct_8","C","QA","431b","tr_2","01",25216,"O"
823,1870,"CDI","ct_9","C","CA","461f","tr_5","71",25461,"O"
831,304,"CDI","ct_8","C","QB","434e","tr_3","01",3260,"O"
833,1537,"CDI","ct_9","C","JC","388d","tr_1","69",53184,"O"
839,1077,"CDI","ct_8","P","QB","526a","tr_4","01",17309,"O"
844,1876,"CDI","ct_9","C","CC","626c","tr_5","01",22013,"O"
848,1389,"CDI","ct_9","C","HZ","676b","tr_2","01",12166,"O"
849,1858,"CDI","ct_9","C","GZ","433d","tr_1","01",21615,"O"
850,1954,"CDI","ct_9","C","GZ","551a","tr_5","69",21474,"O"
858,1820,"CDI","ct_9","C","CL","383a","tr_6","69",61679,"O"
868,515,"CDI","ct_9","C","MA","373d","tr_3","69",20188,"O"
869,1778,"CDI","ct_9","C","DZ","463b","tr_0","01",43894,"O"
870,1039,"CDI","ct_9","C","SZ","562b","tr_1","01",11392,"O"
877,1923,"CDI","ct_9","C","GZ","463b","tr_2","01",24016,"O"
881,1756,"CDI","ct_5","C","LZ","684a","tr_5","01",17232,"O"
888,246,"CDI","ct_9","C","GZ","551a","tr_3","01",2947,"O"
890,938,"CDI","ct_9","C","FZ","632j","tr_5","38",4382,"O"
893,314,"AUT","ct_8","P","QB","563b","tr_5","01",2935,"X"
922,1092,"CDI","ct_9","C","IZ","468a","tr_1","01",18593,"O"
930,1367,"CDI","ct_9","C","FZ","487a","tr_3","69",30275,"O"
937,1820,"CDI","ct_9","C","NZ","684a","tr_6","69",14042,"O"
942,1939,"CDI","ct_9","C","CA","625b","tr_3","01",23164,"O"
949,1756,"CDI","ct_9","C","QA","526e","tr_3","38",16043,"O"
955,1666,"CDI","ct_9","C","FZ","382c","tr_5","38",52391,"O"
959,1269,"CDI","ct_9","C","CG","543h","tr_5","01",15956,"O"
963,1984,"CDI","ct_9","C","HZ","676c","tr_6","01",23852,"O"
964,1351,"CDI","ct_9","C","GZ","373d","tr_2","01",51255,"O"
965,838,"CDI","ct_9","P","GZ","554c","tr_1","01",6530,"O"
971,239,"CDI",NA,"C","NZ","534a","tr_4","01",2373,"O"
972,1350,"CDI","ct_8","P","QB","525d","tr_3","39",10742,"O"
978,152,"CDI",NA,"P","QB","526d",NA,"69",3305,"O"
981,1773,"CDI","ct_9","C","FZ","641a","tr_2","01",21758,"O"
986,771,"CDI","ct_9","P","NZ","684a","tr_5","01",4185,"O"
991,985,"APP","ct_9","C","CH","673b","tr_1","69",9334,"A"
996,771,"CDI","ct_9","P","NZ","684a","tr_5","01",4200,"O"
997,1760,"CDI","ct_9","C","CG","621e","tr_5","02",20543,"O"
998,189,"CDI","ct_9","C","FZ","681b","tr_1","93",1339,"O"
1002,1820,"AUT","ct_3","C","QA","526c","tr_6","02",20766,"O"
1004,1820,"CDI","ct_8","C","QB","525d","tr_4","02",18714,"O"
1017,1600,"CDI","ct_9","C","CA","625f","tr_3","02",19522,"O"
1018,497,"CDI","ct_8","P","SZ","563b","tr_3","02",5726,"O"
1024,1831,"CDI","ct_9","C","HZ","643a","tr_2","02",18737,"O"
1027,246,"TTP","ct_9","C","NZ","632f","tr_1","59",2288,"O"
1035,659,"CDD","ct_9","C","GZ","551a","tr_3","02",6779,"O"
1037,1638,"CDI","ct_9","C","EZ","477d","tr_3","02",34385,"O"
1039,124,"CDI",NA,"C","QB","525d",NA,"02",1634,"O"
1040,1542,"CDD","ct_5","C","MC","372b","tr_6","75",20560,"O"
1044,1612,"CDI","ct_7","N","QB","563a","tr_0","02",5664,"O"
1050,1816,"AUT","ct_3","C","QA","632k","tr_6","02",20612,"O"
1058,447,"CDD","ct_9","P","QB","563b","tr_3","02",3260,"O"
1060,303,"CDD","ct_1","C","PZ","342h","tr_6","51",5793,"O"
1061,1555,"CDI","ct_8","C","QB","563b","tr_3","02",15151,"O"
1067,2028,"CDI","ct_1","C","RZ","333a","tr_6","75",39961,"O"
1071,1750,"CDI","ct_9","C","KZ","463d","tr_3","77",43038,"O"
1077,1979,"CDI","ct_9","C","CA","636c","tr_2","02",20228,"O"
1082,1714,"CDI","ct_9","C","CG","676e","tr_4","02",17003,"O"
1084,1503,"CDI","ct_9","C","IZ","468a","tr_3","02",15514,"O"
1086,1297,"CDI","ct_9","P","HZ","641b","tr_3","02",13750,"O"
1087,1961,"CDI","ct_9","C","CE","625c","tr_6","02",52868,"O"
1090,311,"APP",NA,"C","GZ","551a",NA,"02",3640,"A"
1107,145,"CDI",NA,"C","OZ","621f",NA,"02",1105,"O"
1113,1533,"CDI","ct_7","N","QB","563a","tr_1","02",4767,"O"
1127,1287,"CDD","ct_8","P","QB","543h","tr_3","02",12764,"O"
1135,1820,"CDI","ct_8","C","QB","434f","tr_1","93",24116,"O"
1146,1453,"CDI","ct_6","P","CA","554a","tr_2","02",14020,"O"
1151,1435,"CDI","ct_7","N","QB","563b","tr_1","02",12933,"O"
1154,1694,"CDI","ct_9","C","FZ","481b","tr_5","02",63685,"O"
1160,759,"CDI","ct_9","C","MA","462c","tr_5","51",13625,"O"
1165,1634,"CDI","ct_7","N","QB","563a","tr_1","02",4237,"O"
1180,2200,"CDI","ct_9","C","NZ","691a","tr_1","51",30571,"O"
1201,3000,"CDI","ct_7","N","QB","563a","tr_0","02",10735,"O"
1204,1867,"CDI","ct_9","C","CH","626b","tr_5","02",26941,"O"
1212,877,"CDI","ct_2","P","OZ","524c","tr_2","02",7009,"O"
1215,744,"CDD","ct_8","C","QB","479b","tr_3","51",9016,"O"
1217,2028,"CDI","ct_9","C","GZ","487a","tr_3","02",34412,"O"
1218,1836,"CDI","ct_7","N","QB","563a","tr_1","02",5347,"O"
1221,1191,"CDI","ct_9","P","QB","526a","tr_3","02",22401,"O"
1234,1820,"CDI","ct_1","C","OZ","422a","tr_6","80",16686,"O"
1236,1820,"CDI","ct_9","C","KZ","376d","tr_6","02",49575,"O"
1244,2209,"CDI","ct_7","N","QB","563a","tr_1","02",9893,"O"
1256,2200,"CDI","ct_9","C","HZ","641a","tr_5","02",23596,"O"
1278,1875,"CDI","ct_9","C","CG","385b","tr_5","60",48918,"O"
1282,1819,"CDD","ct_3","C","QA","431f","tr_6","02",20950,"O"
1283,1586,"CDD","ct_1","P","PZ","422e","tr_4","02",15406,"O"
1285,1820,"CDI","ct_9","C","HZ","389a","tr_6","75",50432,"O"
1286,2492,"CDI","ct_7","N","QB","563a","tr_1","02",8381,"O"
1298,1841,"CDI","ct_8","C","PZ","421b","tr_3","02",30649,"O"
1307,1603,"CDI","ct_9","C","GZ","461d","tr_5","80",19523,"O"
1310,776,"CDI","ct_9","C","IZ","377a","tr_1","02",8380,"O"
1315,1562,"CDI","ct_9","C","QA","431f","tr_4","02",23424,"O"
1321,1778,"CDI","ct_9","C","QB","488a","tr_4","02",24588,"O"
1322,1138,"CDI","ct_8","C","RZ","377a","tr_4","93",24857,"O"
1329,1305,"CDI","ct_6","C","PZ","423a","tr_1","02",17223,"O"
1330,480,"AUT","ct_8","C","PZ","564b","tr_2","02",4980,"X"
1331,1841,"CDI","ct_9","C","CL","461f","tr_4","02",34656,"O"
1335,1820,"CDI","ct_9","C","CH","542a","tr_4","02",20292,"O"
1342,1820,"CDI","ct_9","C","CA","625f","tr_6","02",27307,"O"
1345,1820,"CDI","ct_9","C","CA","652a","tr_6","02",25807,"O"
1347,1918,"CDI","ct_8","C","QB","526a","tr_4","60",22702,"O"
1348,1737,"CDI","ct_9","C","CC","627f","tr_5","02",25927,"O"
1358,1823,"CDI","ct_9","C","MA","386b","tr_4","75",47891,"O"
1359,1049,"CDI","ct_9","C","CH","676c","tr_5","77",15541,"O"
1366,1339,"CDI","ct_9","P","HZ","641b","tr_6","51",16167,"O"
1368,1917,"CDI","ct_9","C","GZ","551a","tr_6","02",18769,"O"
1388,1879,"AUT","ct_3","C","QA","431f","tr_6","02",24170,"O"
1392,2108,"CDI","ct_9","C","NZ","637d","tr_2","02",26226,"O"
1395,2043,"CDI","ct_9","C","KZ","641a","tr_6","44",24558,"O"
1398,1588,"AUT","ct_2","P","QB","563a","tr_3","51",17690,"O"
1405,1820,"CDI","ct_9","C","HZ","388b","tr_6","77",36119,"O"
1415,1434,"CDI","ct_6","C","PZ","423a","tr_1","02",15149,"O"
1416,940,"CDI","ct_8","P","QB","526a","tr_4","02",9336,"O"
1424,1580,"CDI","ct_9","C","GZ","374c","tr_2","91",38738,"O"
1425,2399,"TTP","ct_9","N","NZ","636a","tr_1","78",26845,"O"
1426,2096,"CDI","ct_9","C","QA","526e","tr_2","02",20953,"O"
1429,1799,"CDI","ct_9","C","CH","623a","tr_3","02",42248,"O"
1436,1820,"CDI","ct_8","C","QA","431f","tr_1","02",24230,"O"
1447,1781,"CDI","ct_9","C","GZ","543g","tr_3","02",23299,"O"
1448,1820,"CDI","ct_3","C","QA","523d","tr_6","02",16366,"O"
1449,1691,"CDI","ct_8","C","QB","432d","tr_3","02",4747,"O"
1459,637,"TOA","ct_9","C","IZ","561b","tr_1","59",6110,"O"
1463,2032,"CDI","ct_9","C","CE","484a","tr_6","02",61051,"O"
1480,1921,"CDI","ct_9","C","GZ","462b","tr_0","02",22755,"O"
1481,561,"CDD","ct_2","C","OZ","525b","tr_6","02",4832,"O"
1482,1009,"CDD","ct_3","C","QA","525d","tr_6","02",11303,"O"
1489,1820,"CDI","ct_3","C","QA","451h","tr_6","02",21773,"O"
1493,1735,"AUT","ct_1","P","PZ","341a","tr_4","02",24723,"O"
1510,1892,"CDI","ct_9","C","HZ","641a","tr_3","77",16760,"O"
1513,1820,"CDI","ct_9","C","CE","372c","tr_5","02",52995,"O"
1528,1820,"CDI","ct_8","C","QA","525d","tr_6","02",16802,"O"
1530,1506,"CDI","ct_9","C","NZ","534a","tr_6","93",14066,"O"
1540,1838,"CDI","ct_9","C","CA","625f","tr_6","02",26869,"O"
1545,1233,"CDI","ct_5","C","LZ","564a","tr_5","02",25340,"O"
1547,713,"TTP","ct_9","N","NZ","622a","tr_1","02",8062,"O"
1549,1784,"CDI","ct_9","C","GZ","682a","tr_3","02",14522,"O"
1551,2200,"CDI","ct_9","C","HZ","641a","tr_6","02",23774,"O"
1553,169,"CDI",NA,"C","FZ","632g",NA,"75",1545,"O"
1556,1824,"CDI","ct_9","C","KZ","467b","tr_6","92",22810,"O"
1557,1424,"CDI","ct_9","C","SZ","562b","tr_1","02",15596,"O"
1567,2209,"CDI","ct_7","N","QB","563a","tr_1","02",9092,"O"
1571,1838,"CDI","ct_9","C","GZ","551a","tr_5","02",16204,"O"
1575,1820,"CDI","ct_8","C","QB","676e","tr_4","02",21355,"O"
1582,296,"TTP","ct_9","N","NZ","676c","tr_1","02",3924,"O"
1589,998,"CDI","ct_9","C","CM","676c","tr_0","02",13287,"O"
1600,678,"CDI","ct_8","C","QB","525d","tr_2","02",8107,"O"
1603,780,"CDI","ct_9","C","QB","526a","tr_4","59",9923,"O"
1610,722,"CDI","ct_9","P","IZ","561d","tr_1","02",7450,"O"
1628,1680,"CDI","ct_9","C","FZ","633a","tr_3","51",19823,"O"
1634,1686,"CDI","ct_9","C","GZ","551a","tr_2","02",15278,"O"
1640,1840,"CDI","ct_8","C","QB","434a","tr_3","02",23680,"O"
1645,1620,"CDI","ct_8","C","QB","543b","tr_2","02",21337,"O"
1646,1648,"CDI","ct_6","C","FZ","632b","tr_1","02",20981,"O"
1654,1430,"CDI","ct_9","C","NZ","684a","tr_4","02",13412,"O"
1658,1438,"CDI","ct_8","C","QB","526a","tr_4","02",9284,"O"
1659,1543,"CDI","ct_8","C","QB","526d","tr_3","02",17546,"O"
1661,1737,"CDI","ct_9","C","NZ","534a","tr_5","60",17507,"O"
1670,1376,"CDI","ct_9","P","HZ","641b","tr_5","80",24595,"O"
1671,1827,"CDI","ct_9","C","CA","461f","tr_5","02",45665,"O"
1677,1587,"CDI","ct_6","C","IZ","561c","tr_1","02",15329,"O"
1679,1884,"CDI","ct_9","C","CL","673c","tr_5","60",25585,"O"
1682,300,"CDI",NA,"C","NZ","546e","tr_2","94",2881,"O"
1694,1832,"CDI","ct_9","C","FZ","628g","tr_3","75",14229,"O"
1695,1795,"CDI","ct_8","C","QB","676e","tr_4","02",14905,"O"
1711,1370,"CDI","ct_9","C","FZ","373d","tr_0","02",24682,"O"
1713,1820,"CDI","ct_3","C","QA","451h","tr_6","02",20620,"O"
1732,987,"CDI","ct_8","P","PZ","525b","tr_3","02",6385,"O"
1738,1825,"CDI","ct_9","C","CH","477b","tr_6","02",36231,"O"
1741,1547,"CDI","ct_9","C","GZ","462e","tr_2","51",24219,"O"
1746,1820,"CDI","ct_9","C","GZ","374b","tr_6","92",42005,"O"
1767,960,"CDI","ct_8","P","QB","563c","tr_6","59",9857,"O"
1769,123,"CDI",NA,"C","SZ","524c",NA,"94",2352,"O"
1773,1362,"CDI","ct_9","C","GZ","552a","tr_5","93",20206,"O"
1778,1820,"CDI","ct_8","C","QB","434a","tr_5","02",25517,"O"
1783,366,"CDI",NA,"C","SZ","563c",NA,"02",3155,"O"
1790,1717,"CDI","ct_6","C","MC","465a","tr_1","02",21677,"O"
1811,1174,"CDI","ct_9","C","IZ","561b","tr_1","03",11913,"O"
1833,1729,"CDI","ct_9","C","CL","385a","tr_6","03",39242,"O"
1834,1870,"CDI","ct_8","C","QB","434a","tr_4","03",46411,"O"
1837,1780,"CDI","ct_8","C","PZ","423b","tr_3","03",22380,"O"
1865,1843,"CDI","ct_9","C","NZ","534a","tr_4","63",19969,"O"
1886,1946,"CDI","ct_9","C","MA","543b","tr_2","03",28470,"O"
1888,1820,"CDI","ct_3","C","QB","526a","tr_6","03",20233,"O"
1894,121,"CDI",NA,"C","OZ","523b",NA,"87",1377,"O"
1912,1768,"CDI","ct_9","C","DZ","374c","tr_6","92",57260,"O"
1914,1468,"TTP","ct_9","C","NZ","631a","tr_1","03",15445,"O"
1927,1701,"CDI","ct_9","C","HZ","676d","tr_5","63",15385,"O"
1934,2050,"CDD","ct_3","C","QA","344c","tr_6","63",29557,"O"
1938,1861,"CDI","ct_9","C","CB","675a","tr_5","03",17564,"O"
1939,1612,"CDI","ct_9","P","NZ","684a","tr_5","03",14021,"O"
1940,1645,"CDI","ct_9","C","CH","623g","tr_6","03",26084,"O"
1941,1604,"CDI","ct_9","C","PZ","423a","tr_1","03",11615,"O"
1950,1729,"CDI","ct_8","C","QB","526d","tr_2","03",18532,"O"
1954,693,"TTP","ct_9","N","NZ","676a","tr_0","03",7631,"O"
1958,1809,"CDI","ct_9","C","CG","671c","tr_3","03",21961,"O"
1964,808,"CDD","ct_9","C","CM","623b","tr_1","03",6921,"O"
1986,1140,"AUT","ct_8","C","QB","676a","tr_3","03",8472,"X"
1998,410,"AUT","ct_9","C","GZ","543f","tr_1","03",2231,"X"
