PRIMARY_KEY,ECO_SECT,LAST_DEP,Job_dep,job_desc,TYPE_OF_CONTRACT,job_category,Work_condition,company_category,Working_hours,employee_count
433,"KZ","44","44","374b","CDI","O","C","ct_9",1778,"tr_3"
472,"PZ","74","74","691b","CDI","O","P",NA,481,NA
479,"GZ","33","33","554a","CDI","O","P","ct_6",578,"tr_0"
483,"SZ","56","56","684a","AUT","O","C",NA,260,NA
487,"RZ","27","27","534a","CDI","O","C",NA,166,NA
495,"NZ","93","94","632k","CDI","O","C","ct_9",2014,"tr_6"
508,"FZ","51","55","681a","CDI","O","C","ct_9",1724,"tr_2"
510,"LZ","75","75","463d","CDI","O","C","ct_9",1842,"tr_3"
513,"CA","44","44","674c","CDI","O","C","ct_9",525,"tr_5"
519,"QB","60","60","563a","CDI","O","N","ct_7",2412,"tr_0"
524,"PZ","56","56","435b","CDI","O","C",NA,449,NA
526,"OZ","42","42","483a","AUT","O","C","ct_1",1824,"tr_6"
532,"HZ","67","67","641a","CDI","O","C","ct_9",2200,"tr_3"
535,"MA","73","73","461f","CDI","O","C","ct_9",1833,"tr_2"
554,"MC","17","17","643a","CDI","O","P","ct_9",974,"tr_3"
560,"SZ","31","31","434a","CDI","O","C","ct_8",1820,"tr_6"
562,"OZ","89","89","621f","CDI","O","P",NA,369,NA
567,"QA","69","69","451h","CDI","O","C","ct_3",1820,"tr_6"
580,"CA","22","22","625d","CDI","O","C","ct_9",1845,"tr_5"
583,"DZ","92","93","388b","CDI","O","C","ct_9",1806,"tr_6"
589,"QB","81","81","526d","CDI","O","C","ct_8",1251,"tr_4"
591,"RZ","61","14","354b","CDI","O","C",NA,133,NA
618,"HZ","38","38","461c","CDI","O","C","ct_9",1815,"tr_3"
626,"GZ","47","47","676c","CDI","O","P","ct_9",1339,"tr_4"
644,"NZ","37","41","684a","CDD","O","P","ct_9",180,"tr_1"
646,"GZ","37","37","541b","CDI","O","C","ct_8",1813,"tr_3"
647,"NZ","95","78","534a","CDI","O","C","ct_9",1827,"tr_5"
663,"NZ","91","91","655a","TTP","O","C","ct_9",725,"tr_1"
681,"GZ","34","34","554f","CDI","O","C","ct_9",1229,"tr_1"
686,"QB","72","72","563a","CDI","O","N","ct_7",3000,"tr_1"
698,"QB","76","76","526d","CDI","O","C","ct_8",1819,"tr_4"
717,"OZ","76","76","524b","CDI","O","P","ct_1",1517,"tr_5"
730,"HZ","13","13","641a","CDI","O","C","ct_9",1931,"tr_0"
749,"OZ","92","92","525c","CDI","O","C","ct_1",1818,"tr_6"
773,"OZ","92","92","354g","AUT","O","P","ct_2",1461,"tr_6"
787,"NZ","91","78","675c","TTP","O","C","ct_9",1309,"tr_1"
789,"MA","31","31","478a","CDI","O","C","ct_9",1340,"tr_4"
799,"QB","13","13","526c","CDI","O","C","ct_9",1486,"tr_3"
803,"SZ","67","67","435a","CDI","O","C","ct_8",700,"tr_1"
804,"QB","17","17","526a","CDI","O","P",NA,168,NA
812,"PZ","56","56","421b","CDI","O","C","ct_8",1820,"tr_3"
815,"KZ","72","72","543h","CDI","O","C","ct_9",1521,"tr_6"
819,"QA","62","62","526e","CDI","O","C","ct_9",1875,"tr_3"
828,"QA","94","94","526b","CDI","O","P","ct_9",1352,"tr_1"
830,"NZ","91","91","691d","TTP","O","C","ct_9",776,"tr_1"
832,"QB","13","13","681b","AUT","X","P","ct_8",1171,"tr_5"
837,"RZ","69","69","351a","AUT","O","C","ct_1",1828,"tr_5"
867,"OZ","77","94","524b","CDI","O","C",NA,208,NA
871,"QB","27","78","563b","CDI","O","N","ct_7",237,"tr_1"
874,"QA","57","57","525d","CDI","O","C","ct_8",1820,"tr_6"
896,"HZ","16","16","642b","CDI","O","P","ct_9",593,"tr_0"
898,"OZ","93","93","531b","CDD","O","P","ct_2",454,"tr_6"
902,"IZ","14","14","561d","CDI","O","P","ct_6",493,"tr_1"
905,"GZ","57","54","634c","CDI","O","C","ct_9",1512,"tr_1"
907,"CL","35","35","673c","CDI","O","C","ct_9",916,"tr_6"
912,"OZ","89","75","333f","CDI","O","P","ct_2",1706,"tr_1"
918,"QA","34","34","461d","CDI","O","C","ct_1",2096,"tr_5"
924,"CM","93","91","473b","CDI","O","C","ct_9",1910,"tr_4"
928,"NZ","88","88","641a","TTP","O","N","ct_9",188,"tr_1"
938,"QA","72","72","526e","CDI","O","C","ct_9",2040,"tr_1"
948,"MA","17","17","542a","CDI","O","P","ct_6",948,"tr_1"
956,"GZ","74","74","643a","CDI","O","C","ct_9",423,"tr_2"
970,"QA","13","13","526e","CDI","O","C","ct_9",645,"tr_2"
992,"MB","94","92","385a","CDI","O","C","ct_9",2144,"tr_5"
1005,"HZ","60","77","655a","CDI","O","C","ct_9",1271,"tr_6"
1013,"QB","87","87","632k","CDI","O","C","ct_8",1427,"tr_3"
1016,"QA","21","21","526a","CDI","O","C","ct_9",1821,"tr_6"
1030,"PZ",NA,NA,"525b","CDI","O","C","ct_8",1083,"tr_2"
1043,"KZ","79","79","467a","CDI","O","C","ct_9",736,"tr_1"
1057,"CG","24","24","674a","CDI","O","C","ct_9",1583,"tr_5"
1076,"FZ","77","77","485a","CDI","O","C","ct_9",212,"tr_0"
1078,"QB","09","09","563a","CDI","O","N","ct_7",1773,"tr_0"
1079,"PZ","56","75","423b","CDI","O","C","ct_9",274,"tr_2"
1091,"MA","27","75","543f","CDI","O","P","ct_9",1096,"tr_6"
1094,"HZ","44","44","641b","CDI","O","C","ct_9",1884,"tr_4"
1095,"QB","68","68","685a","AUT","X","C","ct_8",1505,"tr_5"
1100,"NZ","69","69","684a","CDI","O","C","ct_9",1582,"tr_5"
1108,"CC","21","21","475b","CDI","O","C","ct_9",1851,"tr_5"
1133,"GZ","07","07","634a","CDI","O","C","ct_9",1423,"tr_1"
1140,"OZ","69","69","524c","CDI","O","P","ct_2",1789,"tr_4"
1143,"NZ","41","41","676c","CDI","O","P",NA,195,"tr_2"
1166,"SZ","75","75","684a","CDI","O","P","ct_8",1942,"tr_1"
1175,"QB","57","57","563a","CDI","O","P",NA,242,NA
1192,"QA","67","67","525d","CDI","O","C","ct_8",1580,"tr_6"
1196,"CH","44","44","674a","CDI","O","C","ct_9",1642,"tr_2"
1209,"HZ","93","92","543b","CDI","O","C","ct_9",1575,"tr_5"
1224,"GZ","77","77","674d","CDI","O","C","ct_9",1580,"tr_3"
1243,"SZ","31","31","563b","CDI","O","P","ct_9",1012,"tr_4"
1263,"QB","67","67","526a","AUT","O","P","ct_2",303,"tr_6"
1265,"PZ","38","38","422a","CDI","O","P",NA,152,NA
1269,"EZ","78","92","373b","CDI","O","C","ct_9",1810,"tr_5"
1271,"QB","95","77","526d","CDI","O","N",NA,167,NA
1284,"CL","33","33","653a","CDI","O","C","ct_9",455,"tr_6"
1299,"HZ","44","44","641a","CDI","O","C","ct_9",1433,"tr_3"
1301,"CF","41","41","652a","CDI","O","C","ct_9",1959,"tr_5"
1302,"NZ","93","77","684a","CDI","O","C","ct_9",1653,"tr_6"
1303,"KZ","83","83","467a","CDI","O","C","ct_9",1820,"tr_1"
1305,"KZ","22","22","467b","CDI","O","C","ct_9",1820,"tr_5"
1314,"OZ","29","29","424a","CDI","O","P",NA,151,NA
1316,"GZ","17","17","684a","CDI","O","C",NA,692,NA
1340,"FZ","60","93","472c","CDI","O","C","ct_9",1304,"tr_3"
1341,"GZ","87","87","684a","CDI","O","P","ct_9",258,"tr_1"
1363,"QB","85","85","526d","CDI","O","P","ct_8",1274,"tr_4"
1375,"QB","70","70","434f","CDI","O","P","ct_8",1214,"tr_4"
1385,"FZ","29","29","478d","CDI","O","P","ct_9",456,"tr_4"
1387,"PZ","92","75","421b","CDI","O","C","ct_8",2028,"tr_3"
1390,"CF","69","69","475a","CDI","O","C","ct_9",1785,"tr_5"
1399,"GZ","77","77","672a","CDI","O","C","ct_9",1788,"tr_1"
1402,"QB","30","84","525d","CDI","O","C","ct_9",1689,"tr_3"
1406,"QB","75","75","431f","CDI","O","C","ct_8",1820,"tr_1"
1408,"CC","93","75","676c","CDI","O","C","ct_9",1505,"tr_5"
1411,"FZ","76","76","671c","CDI","O","C","ct_9",1820,"tr_2"
1412,"GZ","69","01","676c","CDD","O","P","ct_9",665,"tr_4"
1433,"GZ","50","14","676c","CDI","O","C","ct_9",1390,"tr_5"
1454,"QB","93","93","676e","AUT","X","C","ct_8",1820,"tr_4"
1457,"GZ","95","95","653a","CDI","O","C","ct_9",1823,"tr_3"
1460,"SZ","72","72","691b","CDI","O","P","ct_8",1067,"tr_4"
1465,"QB","31","31","525d","CDI","O","N","ct_9",492,"tr_4"
1467,"QB","42","42","525d","CDI","O","C","ct_8",1840,"tr_3"
1485,"NZ","57","57","684a","CDI","O","P","ct_9",1478,"tr_5"
1490,"QB","68","68","526a","CDI","O","C","ct_8",1316,"tr_4"
1499,"HZ","64","64","451a","CDI","O","P","ct_9",856,"tr_3"
1502,"CA","40","40","674b","TOA","O","C","ct_9",1438,"tr_6"
1516,"OZ","38","38","523c","AUT","O","C","ct_2",1819,"tr_6"
1532,"HZ","50","50","521a","CDI","O","P","ct_9",1274,"tr_3"
1535,"OZ","60","60","525c","CDI","O","C",NA,355,NA
1538,"CK","26","26","676c","CDI","O","C","ct_9",1517,"tr_4"
1555,"NZ","2A","2A","684a","CDI","O","P","ct_9",1733,"tr_3"
1558,"CK","49","49","673b","CDI","O","C","ct_9",830,"tr_3"
1565,"QA","05","05","526a","CDI","O","P","ct_8",1472,"tr_5"
1572,"CB","59","59","627a","CDI","O","C","ct_9",1902,"tr_1"
1574,"IZ","43","24","561f","TOA","O","C","ct_9",391,"tr_0"
1587,"QA","75","92","344a","CDI","O","P","ct_8",3000,"tr_6"
1592,"QB","77","77","526d","CDI","O","C","ct_8",2701,"tr_4"
1596,"MB","67","67","475a","CDI","O","P","ct_9",1276,"tr_5"
1599,"QB","34","34","461d","CDI","O","C","ct_8",1820,"tr_3"
1607,"EZ","69","69","641a","CDI","O","C","ct_9",1850,"tr_2"
1632,"QA","27","27","526b","CDI","O","P","ct_6",1177,"tr_1"
1655,"SZ","44","44","637d","CDI","O","C","ct_9",1553,"tr_1"
1668,"QB","04","04","564b","AUT","X","C","ct_8",1444,"tr_3"
1672,"QB","43","43","525d","CDI","O","P","ct_8",1291,"tr_4"
1680,"HZ","93","75","643a","CDI","O","C","ct_9",251,"tr_3"
1689,"HZ","92","75","333c","CDI","O","C","ct_9",1820,"tr_6"
1693,"QA","78","78","526a","CDI","O","C","ct_8",1025,"tr_6"
1701,"QB","64","64","434d","CDI","O","C","ct_8",1834,"tr_1"
1704,"MB","54","54","375b","CDI","O","C","ct_8",1820,"tr_1"
1719,"CA","40","40","674c","CDD","O","C","ct_9",1362,"tr_6"
1723,"LZ","76","76","684a","CDI","O","C",NA,309,NA
1730,"CB","59","59","628d","CDI","O","C","ct_9",1836,"tr_3"
1734,"FZ","21","21","461b","CDI","O","C","ct_9",1618,"tr_1"
1742,"QB","67","67","563b","AUT","X","P","ct_8",653,"tr_5"
1747,"QA","64","64","525d","CDI","O","C","ct_9",1791,"tr_6"
1755,"NZ","16","16","691e","TOA","O","C","ct_8",1394,"tr_3"
1759,"CH","14","14","674d","CDI","O","C","ct_9",562,"tr_3"
1761,"HZ","28","28","641a","CDI","O","C","ct_9",307,"tr_3"
1766,"CE","59","59","484a","CDI","O","C","ct_9",2026,"tr_5"
1776,"SZ","04","13","681b","CDI","O","C","ct_8",1771,"tr_2"
1777,"TZ",NA,NA,"563c","CDI","O","N",NA,199,NA
1792,"QB","71","71","685a","AUT","X","P","ct_8",568,"tr_3"
1795,"JA","42","69","684a","CDI","O","C","ct_9",1150,"tr_3"
1798,"FZ","46","46","621c","CDI","O","C","ct_9",1525,"tr_4"
1812,"QA","67","67","526a","CDI","O","C","ct_8",1739,"tr_6"
1815,"HZ","76","76","641a","CDI","O","C","ct_9",2193,"tr_4"
1823,"PZ","78","92","375b","CDI","O","C","ct_8",1771,"tr_5"
1825,"CI","91","91","473c","CDI","O","P","ct_9",791,"tr_6"
1828,"FZ","64","64","621a","CDI","O","C","ct_9",1641,"tr_1"
1831,"FZ","57","57","621c","CDI","O","C","ct_9",1628,"tr_2"
1832,"JC","59","59","461f","CDI","O","C","ct_9",1357,"tr_2"
1842,"QA","31","31","643a","CDI","O","P","ct_9",1771,"tr_2"
1843,"CC","16","16","627d","CDI","O","C","ct_9",1812,"tr_5"
1845,"OZ","02","02","524c","CDI","O","C",NA,319,NA
1851,"GZ","59","59","461b","CDI","O","P","ct_9",1040,"tr_1"
1856,"CG","62","62","462c","CDI","O","C","ct_9",1846,"tr_6"
1881,"HZ","69","13","642b","CDI","O","N","ct_9",406,"tr_5"
1882,"GZ","02","02","684a","CDI","O","C",NA,276,NA
1885,"QA","68","68","643a","CDI","O","P","ct_9",1093,"tr_1"
1890,"SZ","50","50","564b","CDD","O","P","ct_8",453,"tr_3"
1892,"GZ","66","66","526b","CDI","O","P","ct_9",491,"tr_1"
1900,"FZ","23","23","382c","CDI","O","C","ct_9",1689,"tr_1"
1910,"CI","03","03","474b","CDI","O","C","ct_9",1976,"tr_6"
1915,"GZ","31","31","374c","CDI","O","C","ct_9",1631,"tr_1"
1917,"GZ","86","86","554a","CDI","O","C","ct_9",1845,"tr_3"
1923,"HZ","85","85","451a","CDI","O","P","ct_9",1274,"tr_3"
1924,"PZ","93","92","342b","CDI","O","N","ct_8",1853,"tr_5"
1946,"CG","62","62","475a","CDI","O","C","ct_9",863,"tr_6"
1953,"CA","67","67","477a","CDI","O","C","ct_9",467,"tr_6"
1959,"NZ","45","45","676e","TTP","O","C","ct_9",257,"tr_1"
1967,"GZ","45","45","553c","CDI","O","C","ct_9",1673,"tr_6"
1970,"LZ","24","24","542a","CDI","O","P","ct_9",458,"tr_1"
1981,"PZ","95","95","525a","CDI","O","C","ct_8",1663,"tr_3"
1990,"QA","59","59","525d","CDI","O","C","ct_8",1820,"tr_4"
2021,"NZ","75","92","684a","CDI","O","P","ct_9",1767,"tr_6"
2022,"GZ","47","47","635a","CDI","O","P","ct_9",702,"tr_1"
2039,"QB","39","39","525d","CDI","O","C","ct_3",1041,"tr_3"
2041,"CM","34","30","385b","CDI","O","C","ct_9",1820,"tr_1"
2042,"PZ","59","59","421b","CDI","O","C","ct_8",1213,"tr_2"
2058,"HZ","93","93","372b","CDI","O","C","ct_9",1059,"tr_6"
2064,"HZ","2B","2B","641b","CDI","O","C","ct_9",1821,"tr_3"
2077,"CK","74","74","543h","CDI","O","C","ct_9",1900,"tr_6"
2090,"OZ","45","45","545d","CDI","O","P","ct_8",1308,"tr_6"
2091,"DZ","78","93","461f","CDI","O","C","ct_9",1771,"tr_6"
2096,"KZ","93","75","543b","CDI","O","C","ct_9",1743,"tr_1"
2099,"NZ","44","44","684a","CDI","O","C","ct_9",1794,"tr_6"
2114,"FZ","40","64","681a","CDI","O","C","ct_9",1811,"tr_2"
2130,"HZ","94","94","543g","CDI","O","C","ct_9",1830,"tr_4"
2135,"KZ","95","92","388c","CDI","O","C","ct_9",1778,"tr_6"
2141,"HZ","13","13","643a","CDI","O","C","ct_9",1828,"tr_5"
2149,"GZ","60","92","462e","CDI","O","C","ct_9",1592,"tr_5"
2161,"CA","87","87","554a","CDD","O","P","ct_6",933,"tr_1"
2165,"EZ","59","59","684b","CDI","O","C","ct_9",2023,"tr_2"
2166,"TZ","12","12","563c","CDI","O","C",NA,262,NA
2172,"QB","33","33","563b","CDI","O","C","ct_8",1704,"tr_5"
2179,"CI","35","35","383a","CDI","O","C","ct_9",1820,"tr_6"
2190,"MC","29","13","462d","CDI","O","C","ct_9",234,"tr_4"
2201,"QA","31","31","526a","CDI","O","C","ct_9",1648,"tr_6"
2202,"JA","91","75","451e","CDI","O","C","ct_9",978,"tr_1"
2203,"SZ","01","01","564b","CDI","O","C","ct_4",1804,"tr_4"
2208,"OZ","34","34","524c","AUT","X","P","ct_2",1366,"tr_3"
2221,"PZ","34","11","434c","CDI","O","P","ct_8",1939,"tr_4"
2227,"QB","86","86","632k","CDI","O","C","ct_8",531,"tr_4"
2241,"TZ","85","85","563c","CDI","O","C",NA,1423,NA
2242,"HZ","45","45","451a","CDI","O","C","ct_9",1820,"tr_4"
2250,"OZ","47","33","333f","CDI","O","C","ct_2",1820,"tr_6"
2254,"CM","95","95","543h","CDI","O","C","ct_9",1603,"tr_2"
2265,"QA","77","77","525d","CDI","O","C","ct_9",1560,"tr_5"
2273,"NZ","68","68","435b","CDI","O","C","ct_8",1743,"tr_3"
2285,"OZ",NA,NA,"621f","CDI","O","C","ct_2",1820,"tr_6"
2288,"IZ","77","92","561d","CDI","O","C","ct_9",1473,"tr_3"
2296,"HZ","77","93","333e","CDI","O","C","ct_9",1820,"tr_3"
2297,"QA","41","41","433a","CDI","O","C","ct_9",1868,"tr_0"
2302,"QB","75","75","461f","CDI","O","P","ct_8",1248,"tr_4"
2315,"PZ","69","69","524b","CDI","O","C",NA,172,NA
2320,"FZ","94","94","632a","CDI","O","C","ct_9",755,"tr_2"
2327,"OZ","76","76","333f","CDI","O","C","ct_2",2042,"tr_6"
2328,"GZ","74","74","554d","CDI","O","P","ct_9",542,"tr_1"
2346,"HZ","85","85","333c","CDI","O","P","ct_9",1274,"tr_5"
2352,"NZ","81","81","676a","TTP","O","C","ct_9",1445,"tr_1"
2355,"PZ","77","78","524b","CDI","O","C",NA,182,NA
2385,"HZ","26","26","451a","CDI","O","C","ct_9",424,"tr_4"
2391,"CA","33","33","554a","CDI","O","P","ct_9",886,"tr_2"
2393,"GZ","71","71","374a","CDI","O","C","ct_9",1921,"tr_1"
2404,"PZ","26","26","525a","CDI","O","C","ct_8",1941,"tr_4"
2413,"QA","73","73","526b","CDI","O","C","ct_9",1630,"tr_1"
2421,"QA","75","75","451h","CDI","O","C","ct_8",1820,"tr_4"
2428,"PZ","65","65","422b","AUT","O","C","ct_1",1305,"tr_4"
2446,"QB","31","31","525c","CDI","O","P","ct_8",1936,"tr_5"
2457,"OZ","74","74","525a","CDI","O","P","ct_2",709,"tr_2"
2459,"TZ","38","38","563c","CDI","O","C",NA,396,NA
2461,"QB","39","39","431a","CDI","O","C","ct_8",1820,"tr_4"
2468,"CE","76","76","625c","CDI","O","C","ct_9",1608,"tr_6"
2474,"OZ","93","93","451e","CDI","O","C","ct_8",738,"tr_3"
2475,"NZ","72","72","534a","CDI","O","C","ct_9",904,"tr_5"
2480,"QA","95","95","441a","CDI","O","C","ct_3",1820,"tr_6"
2483,"CA","42","42","625f","CDI","O","C","ct_9",1885,"tr_6"
2493,"GZ","38","38","543g","CDI","O","C","ct_9",1700,"tr_3"
2507,"QA","69","69","451h","CDI","O","P","ct_8",1076,"tr_3"
2529,"QA","81","81","431d","CDI","O","C","ct_9",1170,"tr_5"
2532,"MA","76","76","472a","CDI","O","C","ct_9",1778,"tr_5"
2544,"CL","78","78","474b","CDI","O","C","ct_9",1997,"tr_6"
2546,"CK","69","69","676e","CDI","O","C","ct_9",927,"tr_5"
2547,"LZ","18","18","461f","CDI","O","C","ct_9",1163,"tr_4"
2572,"PZ","35","35","341a","CDI","O","C","ct_8",1820,"tr_5"
2579,"DZ","83","83","477b","CDI","O","C","ct_9",1771,"tr_4"
2589,"PZ","26","26","525a","CDI","O","P","ct_8",895,"tr_5"
2599,"QB","66","66","525d","CDI","O","C","ct_9",1820,"tr_4"
2606,"CC","40","40","674e","CDI","O","C","ct_9",1737,"tr_5"
2611,"QB","27","78","434d","CDI","O","C","ct_8",909,"tr_5"
2620,"HZ","37","37","451a","CDI","O","P","ct_9",1274,"tr_5"
2629,"GZ","33","75","553c","CDI","O","P","ct_9",1202,"tr_1"
2632,"QA","65","65","526a","AUT","O","C","ct_3",1820,"tr_6"
2638,"JA","77","75","373b","CDI","O","C","ct_9",1816,"tr_6"
2640,"HZ","93","95","676a","CDI","O","C","ct_9",1821,"tr_6"
2658,"PZ","59","59","525b","CDI","O","C",NA,274,NA
2660,"FZ","87","87","481a","CDI","O","C","ct_9",607,"tr_3"
2666,"PZ","91","75","632k","CDI","O","C","ct_8",2427,"tr_3"
2683,"GZ","34","34","433d","CDI","O","P","ct_9",1200,"tr_1"
2690,"KZ","13","13","461f","CDI","O","C","ct_9",1820,"tr_5"
2700,"GZ","83","83","554j","CDI","O","P","ct_9",122,"tr_3"
2709,"MA","38","38","461c","CDI","O","P","ct_9",936,"tr_1"
2711,"CL","21","21","673c","CDI","O","C","ct_9",1241,"tr_6"
2725,"NZ","17","17","534b","CDI","O","C","ct_9",1639,"tr_4"
2728,"QA","74","74","523d","CDD","O","P","ct_3",922,"tr_6"
2733,"OZ","54","54","461d","CDI","O","P","ct_8",728,"tr_6"
2740,"SZ","94","75","372b","CDI","O","C","ct_4",1835,"tr_4"
2741,"MA","51","59","376d","CDI","O","C","ct_9",1802,"tr_6"
2747,"LZ","45","94","463e","CDI","O","C","ct_9",393,"tr_1"
2770,"NZ","32","32","691e","CDI","O","P","ct_8",982,"tr_5"
2777,"NZ","59","59","684a","CDI","O","P","ct_9",1530,"tr_5"
2778,"GZ","42","59","463e","CDI","O","C",NA,125,NA
2783,"MA","75","75","461b","CDI","O","C","ct_9",1820,"tr_1"
2786,"OZ","91","91","523b","AUT","O","C","ct_1",1759,"tr_6"
2787,"GZ","01","73","541b","CDI","O","C","ct_9",1705,"tr_3"
2796,"GZ","74","74","643a","CDI","O","P","ct_9",379,"tr_4"
2817,"GZ","76","76","542a","CDI","O","P","ct_9",1264,"tr_1"
2822,"JC","91","75","388d","CDI","O","C","ct_9",1647,"tr_1"
2824,"RZ","50","50","691b","CDI","O","P","ct_9",1410,"tr_1"
2842,"TZ","17","17","563c","CDI","O","N","ct_7",821,"tr_1"
2854,"CG","88","88","674a","CDI","O","C","ct_9",1588,"tr_5"
2856,"RZ","93","93","465b","CDD","O","N","ct_9",704,"tr_1"
2858,"QB","08","08","632k","CDI","O","P","ct_8",1608,"tr_3"
2884,"CK","92","92","384a","CDI","O","C","ct_9",1856,"tr_5"
2885,"QB","72","72","344b","CDI","O","P","ct_8",1521,"tr_2"
2890,"HZ","76","76","521a","AUT","O","C","ct_9",1382,"tr_4"
2897,"QB","03","03","563a","CDI","O","N","ct_7",418,"tr_0"
2905,"IZ","75","75","561e","CDI","O","C","ct_9",489,"tr_4"
2916,"IZ","06","06","488b","CDI","O","C","ct_9",942,"tr_1"
2932,"PZ","93","92","555a","CDI","O","C","ct_8",1414,"tr_3"
2937,"QA","56","56","432d","CDI","O","C","ct_8",1820,"tr_5"
2941,"EZ","59","59","628e","CDI","O","C","ct_9",1820,"tr_6"
2950,"QB","56","56","526d","CDI","O","C","ct_8",1517,"tr_3"
2954,"CA","14","14","625d","CDI","O","C","ct_9",1820,"tr_6"
2957,"GZ","83","83","462e","CDI","O","C","ct_9",1984,"tr_2"
2961,"QB","65","64","526a","CDI","O","C","ct_8",1677,"tr_4"
2964,"CH","59","59","375b","CDI","O","C","ct_9",764,"tr_2"
2971,"CL","68","68","673c","CDI","O","C","ct_9",695,"tr_6"
2987,"QB","83","83","526a","CDI","O","C","ct_9",1825,"tr_4"
2994,"NZ","77","91","641a","CDI","O","C","ct_9",2033,"tr_3"
2999,"QB","72","72","563a","CDI","O","N","ct_7",1152,"tr_1"
3003,"QB",NA,NA,"526a","CDI","O","C","ct_8",1822,"tr_4"
3006,"CA","64","40","674c","TOA","O","C","ct_9",600,"tr_4"
3021,"NZ","84","84","684a","CDI","O","P",NA,172,"tr_1"
3023,"CB","87","87","627c","CDI","O","C",NA,145,NA
3030,"CM","22","22","388e","CDI","O","N","ct_9",2002,"tr_6"
3034,"HZ","77","93","477a","CDI","O","C","ct_9",1512,"tr_6"
3036,"NZ","95","95","543b","CDI","O","P","ct_9",478,"tr_5"
3037,"FZ","75","92","632a","CDI","O","C","ct_9",1668,"tr_5"
3060,"OZ","03","03","524c","AUT","X","C","ct_2",1820,"tr_3"
3076,"TZ",NA,NA,"563c","CDI","O","N","ct_7",1935,"tr_1"
