PRIMARY_KEY,LAST_JOB_42,last_emp_type,retirement_age
2337,"csp_1_3","EMP2.2",60
2346,"csp_3_3","EMP1.6",60
2352,"csp_6_7","EMP1.5",60
2355,"csp_5_2","EMP1.6",60
2381,"csp_2_2","EMP2.2",55
2385,"csp_4_5","EMP1.6",60
2390,"csp_2_1","EMP2.1",57
2391,"csp_5_5","EMP1.6",60
2393,"csp_3_7","EMP1.6",60
2404,"csp_5_2","EMP1.6",55
2413,"csp_5_2","EMP1.6",60
2421,"csp_4_5","EMP1.6",60
2428,"csp_4_2","EMP1.5",65
2446,"csp_5_2","EMP1.6",60
2457,"csp_5_2","EMP1.6",63
2459,"csp_5_6","EMP1.6",65
2461,"csp_4_3","EMP1.6",60
2468,"csp_6_2","EMP1.6",60
2474,"csp_4_5","EMP1.6",60
2475,"csp_5_3","EMP1.6",60
2480,"csp_4_4","EMP1.6",60
2482,"csp_2_2","EMP2.2",65
2483,"csp_6_2","EMP1.6",58
2493,"csp_5_4","EMP1.6",60
2507,"csp_4_5","EMP1.6",60
2508,"csp_1_1","EMP2.1",57
2529,"csp_4_3","EMP1.6",65
2532,"csp_4_7","EMP1.6",55
2536,"csp_2_2","EMP2.1",60
2538,"csp_2_2","EMP2.1",59
2544,"csp_4_7","EMP1.6",57
2546,"csp_6_7","EMP1.6",60
2547,"csp_4_6","EMP1.6",57
2572,"csp_3_4","EMP1.6",52
2579,"csp_4_7","EMP1.6",60
2580,"csp_4_2","EMP2.1",60
2589,"csp_5_2","EMP1.6",65
2599,"csp_5_2","EMP1.6",61
2606,"csp_6_7","EMP1.6",63
2611,"csp_4_3","EMP1.6",60
2620,"csp_4_5","EMP1.6",60
2629,"csp_5_5","EMP1.6",60
2632,"csp_5_2","EMP1.5",56
2635,"csp_2_1","EMP2.2",61
2638,"csp_3_7","EMP1.6",60
2640,"csp_6_7","EMP1.6",59
2658,"csp_5_2","EMP1.6",62
2660,"csp_4_8","EMP1.6",60
2666,"csp_6_3","EMP1.6",64
2683,"csp_4_3","EMP1.6",58
2690,"csp_4_6","EMP1.6",60
2692,"csp_1_1","EMP2.1",62
2700,"csp_5_5","EMP1.6",60
2703,"csp_3_1","EMP2.1",60
2709,"csp_4_6","EMP1.6",60
2711,"csp_6_7","EMP1.6",60
2725,"csp_5_3","EMP1.6",56
2727,"csp_1_1","EMP2.1",60
2728,"csp_5_2","EMP1.5",60
2733,"csp_4_6","EMP1.6",65
2740,"csp_3_7","EMP1.6",55
2741,"csp_3_7","EMP1.6",57
2747,"csp_4_6","EMP1.6",65
2763,"csp_3_1","EMP2.1",55
2770,"csp_6_9","EMP1.6",62
2777,"csp_6_8","EMP1.6",60
2778,"csp_4_6","EMP1.6",65
2783,"csp_4_6","EMP1.6",65
2786,"csp_5_2","EMP1.5",65
2787,"csp_5_4","EMP1.6",61
2796,"csp_6_4","EMP1.6",63
2817,"csp_5_4","EMP1.6",60
2822,"csp_3_8","EMP1.6",62
2824,"csp_6_9","EMP1.6",60
2826,"csp_4_2","EMP2.1",65
2842,"csp_5_6","EMP1.6",62
2854,"csp_6_7","EMP1.6",55
2856,"csp_4_6","EMP1.5",60
2858,"csp_6_3","EMP1.6",55
2864,"csp_2_1","EMP2.1",60
2884,"csp_3_8","EMP1.6",61
2885,"csp_3_4","EMP1.6",60
2890,"csp_5_2","EMP1.5",60
2894,"csp_2_1","EMP2.1",62
2897,"csp_5_6","EMP1.6",59
2905,"csp_5_6","EMP1.6",56
2916,"csp_4_8","EMP1.6",65
2925,"csp_2_2","EMP2.2",63
2932,"csp_5_5","EMP1.6",60
2937,"csp_4_3","EMP1.6",59
2941,"csp_6_2","EMP1.6",60
2950,"csp_5_2","EMP1.6",60
2954,"csp_6_2","EMP1.6",60
2957,"csp_4_6","EMP1.6",60
2961,"csp_5_2","EMP1.6",60
2964,"csp_3_7","EMP1.6",63
2968,"csp_2_1","EMP2.1",63
2971,"csp_6_7","EMP1.6",57
2987,"csp_5_2","EMP1.6",58
2994,"csp_6_4","EMP1.6",60
2999,"csp_5_6","EMP1.6",64
3003,"csp_5_2","EMP1.6",60
3006,"csp_6_7","EMP1.5",60
3021,"csp_6_8","EMP1.6",60
3023,"csp_6_2","EMP1.6",60
3030,"csp_3_8","EMP1.6",62
3034,"csp_4_7","EMP1.6",60
3036,"csp_5_4","EMP1.6",64
3037,"csp_6_3","EMP1.6",65
3060,"csp_5_2","EMP1.3",57
3076,"csp_5_6","EMP1.6",65
3089,"csp_6_7","EMP1.6",63
3091,"csp_2_2","EMP2.1",60
3104,"csp_4_8","EMP1.6",60
3114,"csp_4_2","EMP1.6",60
3115,"csp_4_2","EMP1.6",60
3116,"csp_5_2","EMP1.6",57
3123,"csp_5_4","EMP1.6",60
3130,"csp_5_6","EMP1.6",62
3134,"csp_2_1","EMP2.1",60
3147,"csp_4_6","EMP1.6",60
3151,"csp_6_3","EMP1.6",55
3154,"csp_2_1","EMP2.2",63
3156,"csp_5_4","EMP1.6",60
3157,"csp_3_7","EMP1.6",60
3161,"csp_4_7","EMP1.6",60
3169,"csp_4_3","EMP1.6",60
3170,"csp_6_7","EMP1.6",65
3178,"csp_5_2","EMP1.6",60
3182,"csp_5_2","EMP1.6",60
3184,"csp_4_6","EMP1.5",60
3193,"csp_5_5","EMP1.6",57
3203,"csp_2_2","EMP2.1",60
3205,"csp_5_6","EMP1.6",60
3214,"csp_5_4","EMP1.6",56
3218,"csp_3_7","EMP1.6",65
3225,"csp_5_4","EMP1.3",65
3229,"csp_6_2","EMP1.6",60
3245,"csp_5_6","EMP1.6",57
3254,"csp_3_7","EMP1.6",59
3255,"csp_5_6","EMP1.6",60
3260,"csp_3_8","EMP1.6",54
3275,"csp_3_3","EMP1.6",61
3281,"csp_4_2","EMP1.6",64
3287,"csp_4_7","EMP1.6",60
3293,"csp_4_2","EMP1.6",64
3295,"csp_5_6","EMP1.6",60
3297,"csp_4_3","EMP1.6",60
3320,"csp_6_4","EMP1.6",60
3321,"csp_5_2","EMP1.6",60
3323,"csp_6_3","EMP1.6",65
3330,"csp_5_6","EMP1.6",60
3332,"csp_5_2","EMP1.6",59
3333,"csp_4_6","EMP1.5",59
3341,"csp_3_1","EMP2.2",60
3342,"csp_5_2","EMP1.6",60
3361,"csp_2_3","EMP2.2",55
3366,"csp_6_8","EMP1.6",60
3370,"csp_6_3","EMP1.6",57
3371,"csp_4_6","EMP1.6",65
3380,"csp_2_1","EMP2.1",60
3383,"csp_4_2","EMP1.6",65
3385,"csp_6_4","EMP1.6",65
3387,"csp_5_4","EMP1.6",60
3394,"csp_5_6","EMP1.6",60
3396,"csp_5_2","EMP1.6",60
3402,"csp_5_2","EMP1.6",60
3403,"csp_3_7","EMP1.6",60
3435,"csp_5_2","EMP1.6",60
3441,"csp_3_1","EMP2.1",57
3447,"csp_6_4","EMP1.6",60
3458,"csp_4_5","EMP1.6",59
3459,"csp_4_7","EMP1.6",60
3473,"csp_2_3","EMP2.2",60
3480,"csp_5_2","EMP1.3",65
3485,"csp_6_8","EMP1.6",62
3490,"csp_5_6","EMP1.6",65
3496,"csp_5_4","EMP1.6",60
3499,"csp_6_4","EMP1.6",60
3503,"csp_2_2","EMP2.2",65
3519,"csp_4_2","EMP1.6",52
3523,"csp_4_6","EMP1.6",60
3525,"csp_4_5","EMP1.6",57
3527,"csp_6_3","EMP1.6",60
3543,"csp_4_6","EMP1.6",65
3545,"csp_4_6","EMP1.6",55
3554,"csp_4_6","EMP1.6",60
3557,"csp_4_5","EMP1.5",60
3564,"csp_4_6","EMP1.6",62
3572,"csp_4_8","EMP1.6",63
3586,"csp_6_4","EMP1.6",60
3595,"csp_3_8","EMP1.6",60
3600,"csp_5_2","EMP1.6",60
3601,"csp_5_4","EMP1.6",60
3603,"csp_5_4","EMP1.6",60
3605,"csp_4_2","EMP1.6",59
3609,"csp_4_6","EMP1.6",60
3612,"csp_3_4","EMP1.2",57
3619,"csp_5_2","EMP1.6",55
3625,"csp_5_2","EMP1.6",65
3629,"csp_3_8","EMP1.6",59
3630,"csp_5_2","EMP1.6",60
3633,"csp_4_6","EMP1.6",60
3634,"csp_4_3","EMP1.6",54
3642,"csp_6_2","EMP1.6",64
3651,"csp_5_2","EMP1.6",60
3653,"csp_4_2","EMP1.6",60
3654,"csp_4_7","EMP2.2",55
3655,"csp_2_1","EMP2.2",55
3668,"csp_5_2","EMP1.6",65
3680,"csp_4_8","EMP1.6",60
3683,"csp_5_2","EMP1.6",62
3685,"csp_6_5","EMP1.6",60
3690,"csp_5_5","EMP1.6",65
3693,"csp_5_2","EMP1.6",62
3712,"csp_5_2","EMP1.6",60
3714,"csp_6_2","EMP1.6",64
3717,"csp_5_6","EMP1.6",53
3724,"csp_4_3","EMP1.6",56
3733,"csp_2_2","EMP2.1",60
3744,"csp_5_6","EMP1.6",60
3748,"csp_6_3","EMP1.6",60
3752,"csp_3_8","EMP1.6",57
3757,"csp_5_6","EMP1.6",60
3758,"csp_5_2","EMP1.6",60
3780,"csp_4_5","EMP1.6",60
3798,"csp_5_2","EMP1.6",65
3800,"csp_5_6","EMP1.6",65
3805,"csp_5_6","EMP1.6",65
3808,"csp_4_2","EMP1.6",62
3818,"csp_4_2","EMP1.6",66
3825,"csp_5_6","EMP1.6",60
3826,"csp_6_8","EMP1.6",60
3831,"csp_3_8","EMP1.6",65
3833,"csp_6_2","EMP1.6",60
3836,"csp_5_6","EMP1.2",63
3840,"csp_4_3","EMP1.6",60
3850,"csp_5_5","EMP1.6",60
3852,"csp_6_5","EMP1.6",57
3855,"csp_4_2","EMP2.1",60
3856,"csp_5_6","EMP1.6",65
3860,"csp_4_3","EMP1.6",60
3861,"csp_5_2","EMP1.6",42
3864,"csp_4_3","EMP1.6",60
3866,"csp_3_3","EMP1.5",61
3867,"csp_3_8","EMP1.6",60
3869,"csp_4_6","EMP1.6",61
3878,"csp_6_7","EMP1.6",60
3887,"csp_6_2","EMP1.6",60
3904,"csp_6_9","EMP1.6",60
3905,"csp_3_5","EMP2.1",58
3911,"csp_2_2","EMP2.2",61
3914,"csp_3_1","EMP2.1",65
3925,"csp_4_3","EMP1.6",63
3930,"csp_3_1","EMP2.1",58
3931,"csp_4_6","EMP1.6",60
3941,"csp_5_6","EMP1.6",60
3950,"csp_4_6","EMP1.6",62
3966,"csp_5_6","EMP1.6",58
3970,"csp_4_5","EMP1.6",57
3995,"csp_5_2","EMP1.6",60
3996,"csp_4_6","EMP1.6",60
4025,"csp_4_8","EMP1.6",57
4030,"csp_5_2","EMP1.6",60
4034,"csp_6_5","EMP1.6",65
4040,"csp_4_2","EMP1.6",60
4041,"csp_3_8","EMP1.6",60
4050,"csp_6_3","EMP1.6",60
4059,"csp_5_2","EMP1.6",63
4069,"csp_5_5","EMP1.6",60
4071,"csp_4_6","EMP1.6",60
4072,"csp_4_3","EMP1.6",57
4084,"csp_5_2","EMP1.6",60
4091,"csp_5_2","EMP1.6",60
4093,"csp_5_2","EMP1.5",63
4094,"csp_5_2","EMP1.6",65
4096,"csp_5_4","EMP1.6",55
4109,"csp_5_4","EMP1.5",60
4116,"csp_6_3","EMP1.6",65
4128,"csp_5_2","EMP1.6",60
4131,"csp_2_2","EMP2.1",63
4132,"csp_5_2","EMP1.5",65
4137,"csp_4_3","EMP2.1",60
4145,"csp_4_6","EMP1.6",59
4153,"csp_4_6","EMP1.6",62
4155,"csp_4_6","EMP1.6",51
4178,"csp_4_5","EMP1.6",60
4179,"csp_6_7","EMP1.6",65
4182,"csp_5_2","EMP1.6",64
4185,"csp_4_2","EMP1.6",65
4189,"csp_5_5","EMP1.6",65
4195,"csp_2_3","EMP2.2",59
4200,"csp_5_4","EMP1.6",60
4211,"csp_5_6","EMP1.6",63
4220,"csp_5_3","EMP1.6",65
4224,"csp_5_4","EMP1.6",60
4234,"csp_4_6","EMP1.6",60
4236,"csp_5_4","EMP1.6",58
4243,"csp_5_2","EMP1.6",59
4244,"csp_4_6","EMP1.6",61
4248,"csp_6_7","EMP1.6",65
4251,"csp_4_6","EMP1.6",65
4256,"csp_4_8","EMP1.6",63
4257,"csp_4_6","EMP1.6",56
4258,"csp_6_7","EMP1.6",58
4268,"csp_2_1","EMP2.2",60
4271,"csp_5_4","EMP1.6",60
4281,"csp_5_4","EMP1.6",68
4289,"csp_6_3","EMP1.6",54
4294,"csp_6_7","EMP1.6",60
4301,"csp_5_2","EMP1.6",60
4302,"csp_4_7","EMP1.6",64
4325,"csp_2_1","EMP2.1",60
4357,"csp_5_2","EMP1.6",60
4377,"csp_5_4","EMP1.6",60
4378,"csp_5_6","EMP1.6",60
4383,"csp_5_4","EMP1.2",60
4386,"csp_5_2","EMP1.6",60
4393,"csp_5_4","EMP1.6",60
4396,"csp_4_8","EMP1.6",62
4414,"csp_3_5","EMP1.6",60
4417,"csp_4_6","EMP1.6",60
4418,"csp_5_6","EMP1.6",60
4434,"csp_6_2","EMP1.6",55
4443,"csp_6_2","EMP1.6",60
4448,"csp_2_1","EMP2.2",55
4457,"csp_5_2","EMP1.6",59
4464,"csp_4_8","EMP1.6",59
4481,"csp_4_6","EMP1.6",61
4493,"csp_6_5","EMP1.6",60
4501,"csp_2_1","EMP2.1",61
4518,"csp_5_4","EMP1.6",60
4527,"csp_6_8","EMP1.5",60
4544,"csp_6_4","EMP1.6",60
4547,"csp_2_3","EMP2.2",59
4549,"csp_4_3","EMP1.6",60
4553,"csp_5_2","EMP1.6",54
4561,"csp_6_8","EMP1.6",58
4562,"csp_4_7","EMP1.6",65
4575,"csp_5_6","EMP1.6",60
4581,"csp_2_1","EMP2.1",60
4582,"csp_5_4","EMP1.6",54
4585,"csp_3_4","EMP1.6",60
4588,"csp_4_3","EMP1.6",60
4593,"csp_4_6","EMP1.6",60
4607,"csp_6_7","EMP1.6",60
4609,"csp_5_6","EMP1.6",63
4625,"csp_4_6","EMP1.6",55
4637,"csp_6_3","EMP1.5",60
4641,"csp_5_6","EMP1.6",60
4645,"csp_6_8","EMP1.6",61
4656,"csp_5_6","EMP1.6",65
4661,"csp_6_3","EMP1.6",59
4664,"csp_4_7","EMP1.6",54
4671,"csp_2_1","EMP2.1",57
4673,"csp_4_5","EMP1.6",63
4676,"csp_5_4","EMP1.6",60
4681,"csp_2_3","EMP2.2",60
4695,"csp_5_5","EMP1.6",59
4709,"csp_1_1","EMP2.2",58
4720,"csp_6_9","EMP1.6",60
4727,"csp_1_1","EMP2.1",60
4742,"csp_3_5","EMP1.6",59
4743,"csp_5_6","EMP1.6",62
4744,"csp_3_8","EMP1.6",60
4748,"csp_6_7","EMP1.6",57
4751,"csp_5_2","EMP1.6",60
