PRIMARY_KEY,INSEE,Household_type,JOB_42,Highest_degree,Studying,AGE_2019,act,sex,target
67,"01026","TYPEMR|1|1","csp_5_5","dip|1|3",FALSE,56,"ACT1.1","Male","E"
69,"01027","TYPEMR|4|1","csp_7_5","dip|1|1",FALSE,86,"ACT2.1","Male","E"
70,"01027","TYPEMR|3|2","csp_8_4","dip|1|2",TRUE,17,"ACT2.2","Female","A"
71,"01027","TYPEMR|1|2","csp_7_1","dip|1|1",FALSE,84,"ACT2.1","Female","A"
74,"01031","TYPEMR|1|1","csp_7_2","dip|1|1",FALSE,86,"ACT2.1","Male","E"
75,"01031","TYPEMR|1|2","csp_8_5","dip|1|6",FALSE,36,"ACT2.5","Female","A"
76,"01031","TYPEMR|4|1","csp_5_2","dip|1|5",FALSE,31,"ACT1.1","Female","A"
79,"01031","TYPEMR|3|2","csp_5_5","dip|1|4",FALSE,47,"ACT1.2","Female","A"
81,"01032","TYPEMR|4|3","csp_5_4","dip|1|4",FALSE,53,"ACT1.1","Female","E"
83,"01032","TYPEMR|2|0","csp_8_5","dip|3",FALSE,35,"ACT2.4","Female","E"
86,"01033","TYPEMR|1|2","csp_5_5","dip|1|3",FALSE,24,"ACT1.1","Female","A"
87,"01033","TYPEMR|1|2","csp_3_1","dip|1|8",FALSE,39,"ACT1.1","Female","A"
88,"01033","TYPEMR|4|1","csp_2_2","dip|1|7",FALSE,54,"ACT1.1","Male","E"
91,"01033","TYPEMR|4|1","csp_3_8","dip|1|6",FALSE,44,"ACT1.1","Female","E"
92,"01033","TYPEMR|4|3","csp_7_8","dip|3",FALSE,63,"ACT2.1","Male","E"
94,"01033","TYPEMR|3|2","csp_4_5","dip|1|7",FALSE,44,"ACT1.1","Female","A"
96,"01033","TYPEMR|4|4","csp_7_8","dip|2",FALSE,77,"ACT2.1","Female","A"
97,"01033","TYPEMR|4|1","csp_6_3","dip|1|3",FALSE,52,"ACT1.1","Female","A"
98,"01033","TYPEMR|4|1","csp_8_4","dip|1|2",TRUE,17,"ACT2.2","Male","E"
104,"01033","TYPEMR|4|4","csp_7_7","dip|1|2",FALSE,71,"ACT2.1","Female","A"
105,"01033","TYPEMR|4|1","csp_6_8","dip|1|3",FALSE,46,"ACT1.1","Male","E"
106,"01033","TYPEMR|3|2","csp_8_4","dip|2",FALSE,19,"ACT2.2","Female","E"
107,"01034","TYPEMR|1|1","csp_7_7","dip|1|1",FALSE,91,"ACT2.1","Male","E"
111,"01034","TYPEMR|4|2","csp_6_3","dip|1|3",FALSE,32,"ACT1.1","Male","A"
112,"01034","TYPEMR|4|1","csp_2_1","dip|1|6",FALSE,48,"ACT1.1","Female","A"
113,"01034","TYPEMR|4|4","csp_7_7","dip|1|3",FALSE,87,"ACT2.1","Male","E"
116,"01034","TYPEMR|1|1","csp_4_7","dip|1|1",FALSE,61,"ACT1.1","Male","A"
117,"01034","TYPEMR|4|2","csp_5_4","dip|1|7",FALSE,34,"ACT1.2","Female","A"
118,"01034","TYPEMR|4|2","csp_5_5","dip|1|2",FALSE,43,"ACT1.2","Female","A"
120,"01035","TYPEMR|1|2","csp_4_3","dip|1|8",FALSE,37,"ACT1.1","Female","A"
122,"01036","TYPEMR|4|2","csp_8_5","dip|1|3",FALSE,41,"ACT2.5","Female","A"
125,"01039","TYPEMR|4|4","csp_8_5","dip|1",FALSE,49,"ACT2.5","Female","A"
128,"01043","TYPEMR|2|0","csp_7_8","dip|1|1",FALSE,79,"ACT2.1","Female","E"
129,"01043","TYPEMR|4|1","csp_4_2","dip|1|7",FALSE,37,"ACT1.1","Female","E"
131,"01044","TYPEMR|3|2","csp_8_4","dip|3",TRUE,17,"ACT2.2","Female","A"
132,"01045","TYPEMR|1|2","csp_4_7","dip|1|7",FALSE,30,"ACT1.1","Female","E"
134,"01049","TYPEMR|1|2","csp_8_4","dip|1|6",TRUE,26,"ACT2.2","Female","A"
136,"01049","TYPEMR|4|1","csp_6_2","dip|1|1",FALSE,56,"ACT1.1","Male","E"
138,"01049","TYPEMR|1|2","csp_3_7","dip|1|7",FALSE,46,"ACT1.1","Female","E"
140,"01053","TYPEMR|4|2","csp_8_5","dip|1|1",FALSE,39,"ACT2.5","Female","E"
141,"01053","TYPEMR|4|1","csp_5_4","dip|1|6",FALSE,46,"ACT1.1","Female","E"
142,"01053","TYPEMR|4|1","csp_2_1","dip|1|4",FALSE,29,"ACT1.1","Female","A"
144,"01053","TYPEMR|3|2","csp_5_2","dip|1|3",FALSE,58,"ACT1.1","Female","A"
145,"01053","TYPEMR|4|3","csp_7_2","dip|1|1",FALSE,65,"ACT2.1","Male","E"
146,"01053","TYPEMR|4|2","csp_6_3","dip|1|5",FALSE,40,"ACT1.1","Male","E"
147,"01053","TYPEMR|1|1","csp_3_4","dip|1|7",FALSE,47,"ACT1.1","Male","A"
149,"01053","TYPEMR|3|2","csp_5_2","dip|1|4",FALSE,39,"ACT1.1","Female","E"
150,"01053","TYPEMR|4|1","csp_5_4","dip|1|6",FALSE,49,"ACT1.1","Female","A"
151,"01053","TYPEMR|3|1","csp_7_8","dip|1|6",FALSE,65,"ACT2.1","Male","A"
153,"01053","TYPEMR|4|4","csp_7_7","dip|1|2",FALSE,64,"ACT2.1","Male","E"
154,"01053","TYPEMR|4|1","csp_1_1","dip|1|2",FALSE,54,"ACT1.1","Female","A"
155,"01053","TYPEMR|2|0","csp_5_4","dip|1|5",TRUE,21,"ACT1.1","Male","A"
157,"01053","TYPEMR|4|1","csp_5_6","dip|1|4",FALSE,19,"ACT1.2","Female","A"
158,"01053","TYPEMR|4|4","csp_7_1","dip|1|2",FALSE,72,"ACT2.1","Female","A"
159,"01053","TYPEMR|4|4","csp_8_5","dip|1|3",FALSE,58,"ACT2.4","Female","A"
161,"01053","TYPEMR|1|2","csp_7_7","dip|1|3",FALSE,75,"ACT2.1","Female","A"
163,"01053","TYPEMR|4|1","csp_4_2","dip|1|5",FALSE,31,"ACT1.1","Male","E"
164,"01053","TYPEMR|4|3","csp_8_4","dip|1|1",TRUE,16,"ACT2.2","Male","A"
166,"01053","TYPEMR|4|2","csp_5_5","dip|1|3",FALSE,22,"ACT1.1","Male","A"
167,"01053","TYPEMR|1|1","csp_7_8","dip|1|2",FALSE,68,"ACT2.1","Male","E"
169,"01053","TYPEMR|4|1","csp_8_4","dip|3",TRUE,18,"ACT2.2","Male","E"
174,"01053","TYPEMR|3|2","csp_6_3","dip|1|5",FALSE,47,"ACT1.1","Male","E"
179,"01053","TYPEMR|4|4","csp_7_8","dip|1|1",FALSE,82,"ACT2.1","Male","E"
180,"01053","TYPEMR|1|2","csp_4_3","dip|1|7",FALSE,40,"ACT1.1","Female","E"
183,"01053","TYPEMR|4|4","csp_7_2","dip|1|1",FALSE,72,"ACT2.1","Female","A"
184,"01053","TYPEMR|4|3","csp_7_8","dip|1|3",FALSE,67,"ACT2.1","Male","E"
185,"01053","TYPEMR|1|1","csp_6_3","dip|1|4",FALSE,39,"ACT1.1","Male","E"
186,"01053","TYPEMR|4|1","csp_8_4","dip|1|2",TRUE,23,"ACT2.2","Male","E"
187,"01053","TYPEMR|1|2","csp_7_8","dip|3",FALSE,90,"ACT2.1","Female","A"
189,"01053","TYPEMR|1|1","csp_6_3","dip|1|4",FALSE,25,"ACT1.1","Male","E"
190,"01053","TYPEMR|4|1","csp_4_6","dip|1|2",FALSE,47,"ACT1.1","Female","E"
191,"01053","TYPEMR|3|2","csp_8_5","dip|1|4",TRUE,25,"ACT2.5","Female","A"
193,"01053","TYPEMR|1|1","csp_5_5","dip|1|4",FALSE,37,"ACT1.1","Male","E"
199,"01053","TYPEMR|4|2","csp_5_5","dip|1|6",FALSE,36,"ACT1.1","Male","E"
201,"01053","TYPEMR|4|4","csp_7_7","dip|1|3",FALSE,82,"ACT2.1","Female","A"
203,"01053","TYPEMR|4|4","csp_7_8","dip|2",FALSE,77,"ACT2.1","Female","A"
204,"01053","TYPEMR|4|4","csp_7_8","dip|1|1",FALSE,73,"ACT2.1","Male","E"
206,"01053","TYPEMR|1|1","csp_7_5","dip|1|3",FALSE,61,"ACT2.1","Male","E"
208,"01053","TYPEMR|4|1","csp_4_5","dip|1|7",FALSE,48,"ACT1.1","Male","E"
209,"01053","TYPEMR|4|4","csp_7_8","dip|1|1",FALSE,73,"ACT2.1","Male","E"
212,"01053","TYPEMR|4|3","csp_6_3","dip|3",FALSE,61,"ACT1.2","Male","E"
215,"01054","TYPEMR|3|2","csp_8_4","dip|1|2",TRUE,16,"ACT2.2","Female","A"
217,"01057","TYPEMR|4|4","csp_7_7","dip|1|2",FALSE,82,"ACT2.1","Male","E"
219,"01060","TYPEMR|4|1","csp_3_4","dip|1|8",FALSE,62,"ACT1.1","Male","E"
220,"01061","TYPEMR|4|1","csp_8_4","dip|3",TRUE,18,"ACT2.2","Male","A"
221,"01061","TYPEMR|4|1","csp_8_6","dip|1",FALSE,67,"ACT2.5","Male","E"
222,"01061","TYPEMR|4|1","csp_6_7","dip|1|5",FALSE,41,"ACT1.1","Female","E"
223,"01061","TYPEMR|4|1","csp_5_6","dip|1|5",FALSE,27,"ACT1.1","Female","E"
224,"01061","TYPEMR|4|1","csp_4_3","dip|1|6",FALSE,56,"ACT1.1","Female","E"
225,"01061","TYPEMR|3|2","csp_5_6","dip|1|3",FALSE,27,"ACT1.2","Female","A"
227,"01063","TYPEMR|4|1","csp_6_2","dip|1|4",FALSE,53,"ACT1.1","Male","E"
228,"01064","TYPEMR|4|3","csp_7_8","dip|2",FALSE,63,"ACT2.1","Male","A"
232,"01065","TYPEMR|4|1","csp_4_7","dip|1|4",FALSE,40,"ACT1.1","Male","A"
240,"01071","TYPEMR|4|4","csp_7_7","dip|1|1",FALSE,63,"ACT2.1","Male","A"
241,"01071","TYPEMR|4|1","csp_5_5","dip|1|3",FALSE,34,"ACT1.1","Female","E"
242,"01072","TYPEMR|4|4","csp_7_5","dip|1|4",FALSE,78,"ACT2.1","Male","E"
243,"01072","TYPEMR|4|1","csp_6_8","dip|2",FALSE,58,"ACT1.1","Female","A"
245,"01072","TYPEMR|4|4","csp_7_1","dip|1|3",FALSE,84,"ACT2.1","Male","E"
246,"01073","TYPEMR|4|4","csp_8_5","dip|1|7",FALSE,30,"ACT2.5","Female","A"
248,"01074","TYPEMR|4|4","csp_7_5","dip|1|2",FALSE,80,"ACT2.1","Male","E"
249,"01074","TYPEMR|3|2","csp_8_4","dip|1|2",TRUE,18,"ACT2.2","Female","A"
250,"01074","TYPEMR|4|1","csp_6_8","dip|1|6",FALSE,44,"ACT1.1","Female","E"
251,"01074","TYPEMR|4|1","csp_8_4","dip|1|2",TRUE,17,"ACT2.2","Male","A"
252,"01074","TYPEMR|4|4","csp_7_7","dip|1|6",FALSE,85,"ACT2.1","Female","A"
253,"01075","TYPEMR|4|4","csp_7_5","dip|1|6",FALSE,68,"ACT2.1","Female","A"
254,"01075","TYPEMR|4|1","csp_4_8","dip|1|6",TRUE,23,"ACT1.1","Male","A"
256,"01075","TYPEMR|4|3","csp_4_3","dip|1|7",FALSE,29,"ACT1.1","Female","E"
258,"01078","TYPEMR|4|1","csp_5_4","dip|1|4",FALSE,54,"ACT1.1","Female","E"
260,"01079","TYPEMR|4|1","csp_6_9","dip|1|4",FALSE,31,"ACT1.1","Female","A"
261,"01080","TYPEMR|4|2","csp_8_6","dip|1|1",FALSE,64,"ACT2.5","Female","E"
265,"01089","TYPEMR|4|1","csp_6_3","dip|1|3",FALSE,44,"ACT1.1","Male","E"
270,"01092","TYPEMR|4|1","csp_8_5","dip|1",FALSE,53,"ACT2.5","Female","E"
271,"01092","TYPEMR|4|4","csp_8_6","dip|3",FALSE,91,"ACT2.5","Male","A"
272,"01092","TYPEMR|1|2","csp_5_5","dip|1|4",FALSE,63,"ACT1.1","Female","E"
274,"01093","TYPEMR|4|1","csp_4_3","dip|1|6",FALSE,37,"ACT1.1","Female","E"
275,"01093","TYPEMR|1|1","csp_7_5","dip|1|3",FALSE,68,"ACT2.1","Male","E"
277,"01094","TYPEMR|4|1","csp_5_3","dip|1|3",FALSE,35,"ACT1.1","Male","A"
278,"01095","TYPEMR|4|1","csp_4_3","dip|1|8",FALSE,26,"ACT1.1","Female","A"
279,"01096","TYPEMR|4|1","csp_6_3","dip|1|5",FALSE,24,"ACT1.1","Male","A"
280,"01096","TYPEMR|4|3","csp_2_2","dip|1|2",FALSE,61,"ACT1.1","Female","A"
282,"01099","TYPEMR|1|1","csp_6_3","dip|2",FALSE,34,"ACT1.1","Male","A"
283,"01099","TYPEMR|4|4","csp_7_5","dip|1|3",FALSE,73,"ACT2.1","Male","E"
284,"01102","TYPEMR|1|2","csp_5_6","dip|1|3",FALSE,23,"ACT1.1","Female","A"
285,"01103","TYPEMR|4|1","csp_1_1","dip|1|6",FALSE,49,"ACT1.1","Female","A"
287,"01103","TYPEMR|4|1","csp_5_4","dip|1|6",FALSE,49,"ACT1.1","Female","E"
288,"01104","TYPEMR|1|1","csp_6_3","dip|1|5",FALSE,60,"ACT1.1","Male","E"
290,"01104","TYPEMR|4|1","csp_3_7","dip|1|4",FALSE,36,"ACT1.1","Female","E"
293,"01105","TYPEMR|3|1","csp_3_7","dip|1|8",FALSE,51,"ACT1.1","Male","A"
294,"01105","TYPEMR|4|1","csp_6_2","dip|1|5",FALSE,24,"ACT1.1","Female","E"
295,"01107","TYPEMR|4|4","csp_7_7","dip|2",FALSE,65,"ACT2.1","Female","A"
297,"01108","TYPEMR|4|1","csp_4_3","dip|1|6",FALSE,29,"ACT1.1","Female","E"
299,"01109","TYPEMR|1|2","csp_7_7","dip|1|7",FALSE,69,"ACT2.1","Female","A"
301,"01109","TYPEMR|4|1","csp_8_4","dip|1|2",TRUE,21,"ACT2.2","Male","E"
302,"01109","TYPEMR|4|4","csp_7_7","dip|1|4",FALSE,63,"ACT2.1","Female","A"
305,"01115","TYPEMR|4|1","csp_5_2","dip|1|5",FALSE,53,"ACT1.1","Female","E"
309,"01123","TYPEMR|4|1","csp_4_2","dip|1|7",FALSE,55,"ACT1.1","Female","E"
310,"01124","TYPEMR|4|4","csp_7_7","dip|1|2",FALSE,91,"ACT2.1","Female","A"
313,"01129","TYPEMR|1|2","csp_4_2","dip|1|8",FALSE,51,"ACT1.1","Female","A"
314,"01129","TYPEMR|4|1","csp_8_4","dip|1|2",TRUE,17,"ACT2.2","Male","A"
316,"01130","TYPEMR|4|3","csp_7_8","dip|1|3",FALSE,65,"ACT2.1","Male","E"
317,"01130","TYPEMR|4|1","csp_5_2","dip|1|6",FALSE,63,"ACT1.1","Female","E"
319,"01133","TYPEMR|4|3","csp_7_8","dip|2",FALSE,73,"ACT2.1","Male","A"
321,"01134","TYPEMR|4|1","csp_5_4","dip|1|1",FALSE,62,"ACT1.1","Female","E"
323,"01134","TYPEMR|4|2","csp_6_9","dip|1|5",FALSE,26,"ACT1.1","Male","A"
324,"01134","TYPEMR|4|4","csp_7_5","dip|1|3",FALSE,71,"ACT2.1","Female","A"
325,"01134","TYPEMR|3|1","csp_4_7","dip|1|6",FALSE,49,"ACT1.1","Male","A"
326,"01135","TYPEMR|4|1","csp_2_2","dip|1|6",FALSE,55,"ACT1.1","Female","A"
327,"01136","TYPEMR|4|1","csp_8_4","dip|1|7",TRUE,22,"ACT2.2","Female","A"
331,"01138","TYPEMR|4|4","csp_7_7","dip|1|3",FALSE,61,"ACT2.1","Female","A"
332,"01138","TYPEMR|4|1","csp_3_7","dip|1|8",FALSE,30,"ACT1.1","Female","E"
333,"01138","TYPEMR|4|1","csp_5_4","dip|1|6",FALSE,46,"ACT1.1","Female","A"
334,"01138","TYPEMR|1|2","csp_7_5","dip|1|1",FALSE,88,"ACT2.1","Female","A"
335,"01138","TYPEMR|4|2","csp_8_5","dip|1|4",FALSE,46,"ACT2.4","Female","A"
337,"01139","TYPEMR|4|4","csp_7_2","dip|1|3",FALSE,71,"ACT2.1","Male","E"
338,"01142","TYPEMR|4|3","csp_6_7","dip|1|6",FALSE,42,"ACT1.1","Female","A"
339,"01142","TYPEMR|3|2","csp_8_4","dip|3",TRUE,17,"ACT2.2","Male","A"
341,"01142","TYPEMR|2|0","csp_8_4","dip|1|3",TRUE,18,"ACT2.2","Male","A"
344,"01142","TYPEMR|4|4","csp_7_7","dip|1|6",FALSE,72,"ACT2.1","Female","A"
345,"01142","TYPEMR|4|1","csp_3_8","dip|1|8",FALSE,43,"ACT1.1","Male","E"
350,"01143","TYPEMR|4|3","csp_7_8","dip|1|3",FALSE,65,"ACT2.1","Male","A"
351,"01143","TYPEMR|1|1","csp_5_4","dip|1|8",FALSE,58,"ACT1.1","Male","E"
352,"01143","TYPEMR|4|2","csp_8_5","dip|2",FALSE,37,"ACT2.4","Female","A"
353,"01143","TYPEMR|1|2","csp_8_4","dip|1|5",TRUE,20,"ACT2.2","Female","A"
354,"01143","TYPEMR|4|1","csp_8_4","dip|3",TRUE,18,"ACT2.2","Male","A"
357,"01143","TYPEMR|4|4","csp_7_5","dip|1|6",FALSE,70,"ACT2.1","Female","A"
360,"01148","TYPEMR|4|1","csp_6_3","dip|1|2",FALSE,62,"ACT1.1","Male","E"
371,"01153","TYPEMR|4|1","csp_5_5","dip|1|3",FALSE,38,"ACT1.1","Female","A"
374,"01156","TYPEMR|1|1","csp_6_2","dip|1|3",FALSE,61,"ACT1.1","Male","E"
378,"01158","TYPEMR|3|2","csp_8_5","dip|1|3",FALSE,45,"ACT2.5","Female","A"
379,"01159","TYPEMR|1|1","csp_4_8","dip|1|3",FALSE,61,"ACT1.1","Male","A"
380,"01159","TYPEMR|4|1","csp_5_2","dip|1|4",FALSE,55,"ACT1.1","Female","E"
381,"01159","TYPEMR|4|1","csp_5_2","dip|1|4",FALSE,63,"ACT1.1","Female","E"
384,"01160","TYPEMR|4|1","csp_6_7","dip|1|3",FALSE,37,"ACT1.1","Female","E"
385,"01160","TYPEMR|1|1","csp_6_5","dip|1|4",FALSE,44,"ACT1.1","Male","E"
386,"01160","TYPEMR|1|2","csp_7_7","dip|1|6",FALSE,85,"ACT2.1","Female","A"
389,"01160","TYPEMR|4|1","csp_6_2","dip|1|4",FALSE,49,"ACT1.1","Male","E"
390,"01160","TYPEMR|4|4","csp_8_5","dip|2",FALSE,49,"ACT2.5","Male","E"
391,"01160","TYPEMR|1|2","csp_7_7","dip|1|7",FALSE,63,"ACT2.1","Female","A"
392,"01160","TYPEMR|1|1","csp_6_3","dip|1|3",FALSE,57,"ACT1.1","Male","E"
393,"01160","TYPEMR|3|1","csp_2_1","dip|1|3",FALSE,58,"ACT1.1","Male","A"
394,"01160","TYPEMR|4|4","csp_8_4","dip|1|8",TRUE,24,"ACT2.2","Male","E"
396,"01160","TYPEMR|3|2","csp_8_4","dip|1|2",TRUE,18,"ACT2.2","Male","A"
397,"01160","TYPEMR|3|2","csp_8_1","dip|2",FALSE,33,"ACT1.2","Female","A"
399,"01165","TYPEMR|4|2","csp_6_3","dip|1|3",FALSE,54,"ACT1.1","Male","E"
400,"01165","TYPEMR|4|1","csp_6_7","dip|1|5",FALSE,41,"ACT1.1","Female","E"
401,"01165","TYPEMR|3|2","csp_6_2","dip|1|3",FALSE,44,"ACT1.2","Female","A"
402,"01166","TYPEMR|1|1","csp_4_8","dip|1|6",FALSE,41,"ACT1.1","Male","A"
403,"01166","TYPEMR|4|1","csp_5_3","dip|1|4",FALSE,35,"ACT1.1","Male","A"
406,"01167","TYPEMR|3|2","csp_8_4","dip|3",TRUE,17,"ACT2.2","Male","A"
407,"01167","TYPEMR|1|1","csp_7_1","dip|1|3",FALSE,71,"ACT2.1","Male","E"
408,"01167","TYPEMR|1|1","csp_1_1","dip|1",FALSE,69,"ACT1.1","Male","A"
409,"01171","TYPEMR|4|1","csp_6_3","dip|1|3",FALSE,30,"ACT1.1","Male","A"
410,"01173","TYPEMR|4|4","csp_7_8","dip|1|3",FALSE,77,"ACT2.1","Male","A"
413,"01173","TYPEMR|4|1","csp_6_5","dip|1|3",FALSE,46,"ACT1.1","Female","A"
414,"01173","TYPEMR|4|1","csp_5_5","dip|1|6",FALSE,44,"ACT1.1","Female","E"
415,"01173","TYPEMR|4|2","csp_3_1","dip|1|8",FALSE,41,"ACT1.1","Male","A"
416,"01173","TYPEMR|4|1","csp_4_7","dip|1|4",FALSE,56,"ACT1.1","Male","A"
419,"01173","TYPEMR|4|1","csp_4_3","dip|1|3",FALSE,48,"ACT1.1","Female","A"
420,"01173","TYPEMR|4|2","csp_5_5","dip|1|3",FALSE,37,"ACT1.2","Female","A"
421,"01173","TYPEMR|4|1","csp_4_3","dip|1|6",FALSE,37,"ACT1.1","Female","A"
423,"01173","TYPEMR|4|3","csp_4_3","dip|1|8",FALSE,44,"ACT1.1","Female","A"
426,"01173","TYPEMR|2|0","csp_7_5","dip|1|4",FALSE,69,"ACT2.1","Male","A"
427,"01173","TYPEMR|1|1","csp_7_2","dip|1|2",FALSE,90,"ACT2.1","Male","A"
432,"01175","TYPEMR|4|4","csp_7_4","dip|1|7",FALSE,81,"ACT2.1","Male","E"
433,"01179","TYPEMR|4|4","csp_7_4","dip|1|3",FALSE,70,"ACT2.1","Male","E"
434,"01179","TYPEMR|4|1","csp_3_4","dip|1|7",FALSE,40,"ACT1.1","Female","E"
435,"01179","TYPEMR|4|3","csp_5_4","dip|1|4",FALSE,50,"ACT1.1","Female","A"
439,"01183","TYPEMR|4|1","csp_6_7","dip|1|3",FALSE,51,"ACT1.1","Male","E"
440,"01183","TYPEMR|4|1","csp_8_5","dip|1|3",FALSE,59,"ACT2.5","Male","A"
443,"01185","TYPEMR|1|1","csp_4_6","dip|1|4",FALSE,32,"ACT1.1","Male","A"
447,"01185","TYPEMR|4|1","csp_4_3","dip|1|3",FALSE,37,"ACT1.1","Female","E"
453,"01188","TYPEMR|1|2","csp_4_3","dip|1|7",FALSE,50,"ACT1.2","Female","A"
455,"01192","TYPEMR|4|3","csp_8_4","dip|1|2",TRUE,17,"ACT2.2","Female","A"
456,"01192","TYPEMR|1|1","csp_4_6","dip|1|5",FALSE,42,"ACT1.1","Male","E"
458,"01193","TYPEMR|4|1","csp_8_4","dip|1|2",TRUE,19,"ACT2.2","Male","A"
469,"01194","TYPEMR|1|1","csp_6_4","dip|1|2",FALSE,59,"ACT1.2","Male","E"
472,"01195","TYPEMR|4|4","csp_7_8","dip|1|3",FALSE,79,"ACT2.1","Male","A"
473,"01195","TYPEMR|3|2","csp_4_6","dip|1|7",FALSE,40,"ACT1.1","Female","E"
474,"01195","TYPEMR|4|1","csp_3_8","dip|1|8",FALSE,43,"ACT1.1","Male","A"
475,"01195","TYPEMR|4|2","csp_8_5","dip|2",FALSE,32,"ACT2.4","Female","A"
476,"01195","TYPEMR|4|2","csp_4_7","dip|1|3",FALSE,59,"ACT1.1","Male","A"
479,"01199","TYPEMR|1|1","csp_7_7","dip|1",FALSE,77,"ACT2.1","Male","E"
480,"01199","TYPEMR|4|2","csp_5_2","dip|1|5",FALSE,32,"ACT1.2","Female","A"
481,"01199","TYPEMR|4|1","csp_8_5","dip|3",TRUE,17,"ACT2.2","Male","A"
482,"01200","TYPEMR|4|1","csp_5_2","dip|1|4",FALSE,56,"ACT1.1","Male","A"
483,"01202","TYPEMR|4|4","csp_7_8","dip|2",FALSE,68,"ACT2.1","Female","A"
485,"01202","TYPEMR|4|2","csp_7_1","dip|1|1",FALSE,71,"ACT2.1","Female","E"
487,"01202","TYPEMR|2|0","csp_7_7","dip|1|5",FALSE,78,"ACT2.1","Male","A"
495,"01210","TYPEMR|4|3","csp_7_8","dip|2",FALSE,67,"ACT2.1","Male","A"
499,"01212","TYPEMR|1|1","csp_3_3","dip|1|4",FALSE,61,"ACT1.1","Male","E"
502,"01213","TYPEMR|3|2","csp_5_6","dip|1|3",FALSE,43,"ACT1.2","Female","A"
505,"01216","TYPEMR|4|1","csp_4_5","dip|1|7",FALSE,41,"ACT1.1","Female","E"
508,"01224","TYPEMR|4|4","csp_7_8","dip|1|3",FALSE,69,"ACT2.1","Male","E"
509,"01224","TYPEMR|3|1","csp_3_5","dip|1|4",FALSE,52,"ACT1.1","Male","A"
510,"01224","TYPEMR|4|4","csp_7_5","dip|1|7",FALSE,79,"ACT2.1","Male","E"
511,"01224","TYPEMR|1|2","csp_8_5","dip|1|3",FALSE,55,"ACT2.5","Female","A"
512,"01225","TYPEMR|4|1","csp_8_4","dip|1|2",TRUE,17,"ACT2.2","Male","A"
513,"01225","TYPEMR|3|2","csp_7_8","dip|1|1",FALSE,94,"ACT2.1","Female","E"
516,"01230","TYPEMR|4|1","csp_8_5","dip|3",TRUE,17,"ACT2.2","Male","A"
517,"01231","TYPEMR|4|1","csp_5_2","dip|1|3",FALSE,56,"ACT1.1","Female","E"
518,"01231","TYPEMR|4|2","csp_8_4","dip|1|4",TRUE,30,"ACT2.2","Female","A"
